Time,C1_Temperature_C,C2_Temperature_C,C3_Temperature_C,C4_Temperature_C,C5_Temperature_C,Gas_Velocity_ms,Pressure_Drop_mbar,Heat_Recovery_Efficiency_Percent,Calciner_Temperature_C,Calcination_Degree_Percent,Fuel_Flow_Rate_tph,Tertiary_Air_Temperature_C,O2_Content_Percent,CO_Content_ppm
00:01:10,328.8,470.9,628.9,772.2,874.5,20.5,354.7,87.1,906.2,92.5,4.79,1031.4,3.06,311.0
00:01:15,332.5,483.8,633.1,780.1,872.3,19.7,337.0,87.4,886.2,92.2,4.83,1018.2,2.82,244.0
00:01:20,333.5,487.3,628.9,768.7,878.4,19.3,349.5,86.2,900.4,92.4,5.31,1001.1,3.24,189.0
00:01:25,326.2,469.7,632.2,773.2,877.2,20.0,355.0,87.3,874.6,93.1,5.18,1010.9,3.36,326.0
00:01:30,325.4,482.7,633.6,772.7,868.5,19.5,337.0,87.0,895.5,93.1,4.86,999.0,3.13,250.0
00:01:35,319.5,487.3,616.0,769.3,878.6,20.2,346.0,87.0,894.7,92.8,5.08,1009.4,3.13,175.0
00:01:40,333.1,471.8,639.5,768.1,875.8,19.6,348.1,86.5,898.8,92.1,5.01,1040.0,3.09,345.0
00:01:45,324.4,468.2,617.9,785.7,874.5,20.3,351.7,86.6,895.5,92.7,5.18,998.9,3.39,236.0
00:01:50,323.0,467.2,629.7,777.1,873.7,20.6,349.1,87.6,896.1,92.3,4.84,1028.9,2.76,319.0
00:01:55,322.3,482.4,621.6,778.8,876.8,20.8,354.0,87.1,894.6,92.6,5.27,1007.4,2.98,248.0
00:02:00,336.5,478.3,618.4,769.1,872.3,20.3,342.8,87.7,889.6,91.7,5.02,973.5,3.02,211.0
00:02:05,318.8,471.9,633.1,767.2,884.1,19.0,354.7,87.5,884.6,93.0,5.09,985.1,2.81,280.0
00:02:10,331.4,478.9,616.8,781.2,879.1,19.8,336.5,87.1,886.6,92.9,5.16,985.7,3.0,162.0
00:02:15,337.5,486.2,639.3,771.2,876.2,20.2,356.3,88.2,892.1,92.5,4.97,986.7,2.98,292.0
00:02:20,321.3,469.4,620.8,769.7,868.0,19.8,344.1,87.0,901.6,92.5,4.99,1012.5,3.22,229.0
00:02:25,333.0,466.7,616.9,778.3,886.2,19.6,346.4,88.1,900.9,92.2,4.95,978.8,2.76,275.0
00:02:30,329.6,474.4,611.6,771.6,868.5,20.3,355.6,87.7,899.4,92.0,4.6,978.6,2.89,317.0
00:02:35,325.4,477.0,627.2,768.5,871.5,20.2,345.4,87.9,892.9,93.3,4.71,1019.1,2.96,269.0
00:02:40,326.6,477.3,612.6,781.1,872.5,19.9,342.9,87.8,895.8,92.4,5.07,988.6,2.9,291.0
00:02:45,323.8,473.7,629.6,769.6,875.0,20.2,352.6,88.2,920.7,92.6,4.69,1009.6,2.92,221.0
00:02:50,328.8,478.3,629.1,764.9,881.7,20.0,343.8,88.5,884.0,92.9,5.13,1005.0,2.79,332.0
00:02:55,326.9,469.5,624.8,771.5,872.4,20.4,351.8,88.4,902.1,92.3,5.05,1015.1,2.74,265.0
00:03:00,326.0,472.1,622.8,777.3,880.6,20.4,343.6,86.8,882.6,91.9,5.05,1014.3,2.99,250.0
00:03:05,327.1,467.9,629.4,771.5,878.8,19.7,335.2,86.8,912.1,91.6,4.91,980.9,3.1,309.0
00:03:10,327.7,479.4,622.5,773.2,874.0,19.9,346.1,87.1,897.0,91.7,5.19,1006.3,2.86,211.0
00:03:15,320.0,469.6,636.9,769.1,878.4,20.0,340.0,87.7,917.0,91.9,5.14,1013.0,3.45,284.0
00:03:20,326.0,470.9,628.0,776.8,884.0,20.4,341.8,87.7,905.6,92.4,5.11,996.5,3.31,243.0
00:03:25,317.8,469.9,628.3,769.0,878.1,20.0,347.1,87.6,905.1,92.0,5.09,991.8,3.22,107.0
00:03:30,333.1,473.6,624.9,777.3,869.6,19.8,341.3,87.8,889.4,93.0,4.86,984.7,2.79,225.0
00:03:35,327.6,462.9,625.8,784.7,877.3,20.3,341.8,87.9,897.2,92.1,5.02,1002.2,2.97,175.0
00:03:40,318.5,468.1,626.8,773.3,875.1,19.8,347.9,86.2,890.7,92.4,5.14,1010.8,2.87,259.0
00:03:45,330.8,473.1,622.1,762.1,870.9,19.6,353.1,87.2,922.9,92.4,4.75,1005.7,2.8,318.0
00:03:50,328.5,476.3,636.7,784.7,863.7,20.0,342.4,87.5,888.8,92.7,5.01,998.4,2.9,314.0
00:03:55,313.5,472.4,620.2,778.3,870.1,20.7,348.0,87.1,885.5,92.3,4.92,999.8,3.0,136.0
00:04:00,330.0,470.1,624.7,784.6,885.5,20.6,343.1,87.5,908.9,92.6,4.63,993.7,2.82,202.0
00:04:05,324.4,472.2,618.3,776.1,884.0,19.9,340.0,87.6,909.6,93.3,4.97,996.3,3.28,228.0
00:04:10,323.9,482.1,619.1,782.4,872.4,20.2,340.0,87.9,907.9,93.2,5.21,1005.9,3.04,199.0
00:04:15,316.8,475.9,621.0,777.2,881.7,19.7,343.3,88.4,906.4,93.3,4.89,1000.1,2.91,324.0
00:04:20,329.0,468.1,616.3,787.4,875.0,19.9,339.0,87.6,887.0,92.2,4.65,1006.8,2.85,188.0
00:04:25,326.5,482.3,633.5,778.7,879.7,20.1,343.7,87.1,901.8,93.0,4.98,992.2,3.19,209.0
00:04:30,328.9,476.7,623.7,790.1,879.0,19.2,353.5,87.9,898.3,92.8,5.11,980.1,3.27,221.0
00:04:35,333.2,485.2,628.7,765.8,881.8,19.9,345.5,88.2,901.8,92.8,5.01,1021.8,2.9,241.0
00:04:40,325.8,485.6,627.0,777.7,876.7,20.1,345.7,87.8,887.2,92.5,5.4,991.6,3.31,275.0
00:04:45,322.9,467.4,622.7,786.0,879.5,20.1,337.6,88.3,899.4,92.5,4.91,1007.4,2.93,212.0
00:04:50,324.9,479.4,629.3,781.5,885.7,20.2,348.0,88.4,913.1,92.7,4.96,982.6,2.9,227.0
00:04:55,329.2,477.0,625.0,783.0,878.4,20.4,335.1,87.5,906.3,92.2,5.04,995.6,2.79,234.0
00:05:00,324.1,471.0,614.3,769.3,866.9,20.1,350.8,87.5,897.9,91.5,5.01,1001.1,3.08,271.0
00:05:05,317.2,484.7,622.1,774.9,879.7,19.5,340.8,87.3,911.8,92.5,5.09,985.0,3.19,243.0
00:05:10,330.1,478.1,635.1,763.9,882.5,20.7,344.1,87.4,899.6,93.0,4.9,1007.9,3.11,291.0
00:05:15,326.1,479.4,610.3,780.0,879.3,19.6,342.9,87.1,907.0,92.4,4.79,997.4,3.1,234.0
00:05:20,324.5,486.8,640.3,768.4,878.5,19.9,344.6,87.9,899.2,91.8,5.3,1002.5,3.38,195.0
00:05:25,332.0,475.7,634.0,769.5,880.2,20.5,351.8,87.3,890.3,93.0,5.16,987.3,3.3,258.0
00:05:30,324.0,469.5,633.4,775.7,884.1,19.5,339.1,87.2,880.3,92.3,4.92,986.0,3.02,221.0
00:05:35,316.6,481.2,636.8,776.6,870.5,19.5,357.2,87.5,900.9,91.5,5.09,1038.9,2.76,229.0
00:05:40,328.5,480.4,630.5,770.4,874.7,19.7,346.4,86.6,894.9,92.2,4.73,972.5,3.13,247.0
00:05:45,331.3,472.6,632.8,772.4,874.3,20.7,344.9,87.7,895.0,92.1,4.98,999.2,3.07,303.0
00:05:50,321.8,468.5,614.9,765.9,871.5,20.2,351.0,87.3,909.9,92.5,5.42,985.0,2.87,292.0
00:05:55,323.6,482.3,626.4,775.1,884.7,20.8,353.5,87.8,893.4,92.6,4.88,1019.2,3.04,210.0
00:06:00,316.5,470.0,625.1,766.3,880.9,19.8,337.2,87.7,902.2,93.4,5.08,1002.9,2.7,254.0
00:06:05,328.7,470.0,631.5,784.7,876.1,19.3,346.3,86.9,917.1,91.7,4.93,1071.6,3.04,325.0
00:06:10,321.1,474.9,624.1,776.3,878.2,19.8,341.3,87.5,900.5,92.2,5.02,1008.6,2.8,262.0
00:06:15,327.3,491.2,630.7,769.1,871.3,20.3,345.1,87.8,895.8,91.6,5.01,1046.3,3.25,295.0
00:06:20,334.9,481.8,619.3,779.6,870.8,19.7,346.6,87.6,905.3,92.7,5.15,994.7,3.1,274.0
00:06:25,327.6,468.8,618.0,777.5,869.8,20.2,350.8,88.4,912.6,92.8,5.05,971.4,2.8,250.0
00:06:30,323.7,472.1,621.9,776.4,883.6,19.7,346.9,87.4,888.6,93.5,4.95,986.9,3.1,249.0
00:06:35,330.3,466.2,632.1,771.2,879.1,20.1,348.3,86.6,904.7,93.3,5.44,970.8,3.08,250.0
00:06:40,330.2,474.1,622.3,771.7,879.9,20.0,354.6,88.1,906.1,92.0,4.82,1006.8,3.04,250.0
00:06:45,329.2,478.1,635.4,771.4,881.4,20.1,348.2,88.3,898.9,93.2,4.92,999.8,3.19,274.0
00:06:50,321.6,478.8,627.2,775.3,873.5,19.9,349.6,87.0,907.4,92.0,5.24,989.0,3.28,272.0
00:06:55,316.0,479.5,626.8,763.7,882.8,20.6,344.4,87.8,905.5,92.4,4.79,1036.6,2.81,272.0
00:07:00,322.8,477.3,623.0,773.9,876.5,20.4,348.3,86.3,883.1,92.4,5.32,1017.6,2.74,299.0
00:07:05,324.8,474.0,623.3,770.1,871.4,19.3,342.5,87.4,906.9,91.7,5.0,955.0,3.07,251.0
00:07:10,323.6,470.6,626.9,778.0,869.9,20.2,349.2,87.1,901.4,91.8,5.11,1036.8,2.81,279.0
00:07:15,319.3,484.0,616.4,776.1,870.5,20.6,341.4,87.3,897.7,94.0,5.17,997.0,3.57,290.0
00:07:20,321.5,475.9,633.8,773.9,864.8,20.4,345.1,87.6,901.2,92.8,5.27,983.8,2.96,237.0
00:07:25,324.0,472.9,621.8,777.5,867.7,20.0,345.9,87.8,892.0,92.3,4.84,1006.8,3.07,317.0
00:07:30,323.0,477.3,632.2,778.1,880.4,20.5,346.6,86.9,911.6,92.8,5.03,980.5,2.63,198.0
00:07:35,323.1,475.8,621.2,765.0,872.3,20.1,349.4,87.0,906.6,92.4,4.83,1009.5,3.43,219.0
00:07:40,323.7,474.7,630.6,771.2,870.3,20.0,343.1,87.5,902.1,91.9,4.87,977.5,3.35,220.0
00:07:45,316.2,476.6,622.3,773.2,880.5,20.5,343.2,87.8,895.9,92.4,4.93,960.5,3.25,260.0
00:07:50,323.2,481.3,630.2,775.9,871.1,20.2,338.6,87.2,895.4,92.9,5.28,1020.7,3.16,252.0
00:07:55,319.3,471.0,621.2,766.9,872.7,20.8,340.6,88.1,891.1,92.9,4.9,1009.0,2.92,246.0
00:08:00,326.9,479.9,622.4,767.2,874.9,20.2,340.7,87.5,905.6,92.3,5.04,1035.5,2.72,228.0
00:08:05,318.1,471.9,633.7,789.4,875.9,20.2,342.3,86.7,887.0,91.8,5.09,1030.1,2.59,114.0
00:08:10,321.9,479.6,627.6,776.6,877.7,21.2,338.8,87.2,904.6,91.9,5.22,974.4,3.14,278.0
00:08:15,334.2,468.9,620.6,769.8,882.8,19.4,343.1,87.3,887.9,92.6,5.13,999.5,3.44,264.0
00:08:20,321.8,472.8,628.9,776.7,870.0,20.3,349.3,87.6,908.7,93.2,4.91,1006.6,2.82,291.0
00:08:25,324.3,471.5,622.9,772.7,886.5,20.9,344.6,86.8,894.7,92.1,4.73,1020.2,3.2,240.0
00:08:30,325.8,476.8,625.1,767.8,870.7,19.7,342.6,88.0,897.6,92.6,5.17,978.8,3.11,186.0
00:08:35,335.9,477.7,614.3,785.2,879.7,19.5,336.7,87.7,887.4,92.5,5.18,1022.8,3.03,219.0
00:08:40,323.9,479.8,636.2,780.7,871.7,19.9,347.1,87.8,897.1,92.7,4.99,1002.3,3.07,240.0
00:08:45,321.6,473.9,627.5,771.9,880.8,19.6,344.6,87.9,890.8,92.0,5.06,1008.5,2.9,216.0
00:08:50,335.3,471.8,616.0,775.8,866.2,20.2,353.0,88.1,880.1,91.9,4.91,1029.6,2.9,177.0
00:08:55,324.4,482.3,633.0,776.3,883.2,19.9,340.7,87.2,882.0,92.5,4.72,984.5,2.96,289.0
00:09:00,318.9,474.3,637.3,775.5,870.0,20.6,350.0,86.7,890.9,92.5,4.88,999.0,2.78,250.0
00:09:05,318.6,474.6,631.6,780.4,875.1,20.0,343.2,87.5,883.5,92.3,4.95,1002.0,2.91,263.0
00:09:10,331.3,473.9,612.1,779.5,882.0,19.8,345.7,87.9,898.8,92.9,5.26,994.1,2.99,267.0
00:09:15,321.9,485.7,621.6,778.9,875.7,19.7,336.0,88.2,898.7,92.2,5.32,1014.4,3.46,274.0
00:09:20,326.1,475.2,630.6,772.8,880.9,19.9,347.5,87.8,907.8,93.0,5.01,989.8,3.0,308.0
00:09:25,329.2,484.7,631.5,786.2,878.1,19.3,349.6,87.6,919.5,91.9,5.14,1011.4,3.1,251.0
00:09:30,322.7,470.7,622.5,769.9,879.6,19.6,349.9,86.9,917.3,93.3,4.76,974.5,2.99,224.0
00:09:35,324.3,464.8,622.2,775.9,870.9,20.0,346.6,86.5,911.5,92.1,5.32,996.3,2.94,280.0
00:09:40,325.7,477.9,635.1,774.8,876.1,19.8,336.4,86.9,915.4,92.5,4.57,1004.6,2.91,222.0
00:09:45,319.4,482.6,623.6,778.2,862.0,19.7,348.4,87.7,891.9,92.4,5.08,1009.6,3.14,143.0
00:09:50,326.8,475.8,623.8,774.7,874.8,20.3,349.9,87.1,895.5,93.1,4.99,1011.4,2.81,173.0
00:09:55,329.9,470.6,627.3,775.4,876.2,20.0,348.0,88.1,887.6,92.5,5.27,987.6,3.1,265.0
00:10:00,333.9,476.8,622.3,766.2,877.4,19.6,345.6,88.4,890.6,92.9,5.12,1006.5,2.95,234.0
00:10:05,326.1,471.3,622.6,780.7,885.1,19.0,340.9,87.7,914.3,92.6,4.49,1027.5,3.37,247.0
00:10:10,326.8,469.5,625.1,778.1,884.7,20.4,340.3,87.7,884.2,92.8,4.71,1012.2,3.19,196.0
00:10:15,321.3,481.6,621.5,774.8,866.4,20.1,348.8,87.8,925.8,92.4,4.94,977.1,2.57,248.0
00:10:20,326.8,478.4,617.7,776.8,877.3,20.8,340.5,87.7,900.1,92.7,4.91,1019.2,3.13,280.0
00:10:25,330.2,474.0,618.1,763.4,874.2,20.6,343.3,87.6,912.2,92.0,5.01,994.3,3.04,236.0
00:10:30,336.1,472.8,639.8,771.7,874.9,18.9,354.7,87.7,900.6,92.8,4.96,961.5,3.03,258.0
00:10:35,322.6,474.5,620.6,772.5,876.0,20.6,340.2,88.2,900.6,93.0,4.99,991.8,2.88,335.0
00:10:40,326.7,470.7,636.3,770.3,883.3,20.2,341.3,86.8,916.4,92.8,4.99,1011.0,2.8,274.0
00:10:45,318.8,469.6,626.5,778.0,869.0,19.8,343.0,87.5,906.4,92.4,5.0,999.2,3.29,219.0
00:10:50,329.3,471.1,624.4,766.6,875.1,19.6,352.3,87.4,917.3,92.6,4.68,1015.2,3.56,250.0
00:10:55,326.4,471.5,631.2,775.9,874.2,20.3,350.3,87.7,896.7,92.2,4.65,995.6,2.68,327.0
00:11:00,319.3,469.3,625.9,780.0,875.3,19.9,348.5,87.4,911.1,92.2,5.02,1003.4,2.81,145.0
00:11:05,323.2,473.8,629.0,780.5,873.2,20.6,334.9,87.1,897.0,91.9,4.69,999.9,3.1,193.0
00:11:10,320.9,474.4,636.3,784.3,870.0,20.3,349.9,86.6,896.3,92.0,4.76,1026.4,2.92,279.0
00:11:15,327.9,470.4,622.0,777.7,872.4,19.6,350.2,87.6,889.1,92.2,4.72,986.0,2.98,213.0
00:11:20,327.8,467.8,624.2,771.0,879.5,19.8,346.7,87.9,901.6,92.4,4.92,1027.5,2.89,252.0
00:11:25,324.4,465.6,622.5,787.3,879.7,19.9,338.7,87.5,893.6,93.0,4.78,988.0,3.31,177.0
00:11:30,333.5,472.3,618.9,766.6,882.2,19.4,331.3,87.8,894.1,92.9,5.2,988.0,3.02,205.0
00:11:35,323.9,473.4,631.3,772.5,885.5,19.9,340.4,88.4,881.6,92.7,4.81,980.1,2.96,213.0
00:11:40,325.1,487.1,634.3,761.5,878.1,19.9,347.3,87.4,908.3,92.3,4.88,995.0,3.17,219.0
00:11:45,328.1,465.6,624.2,765.4,872.8,19.9,340.3,86.9,912.9,92.8,5.12,988.5,2.7,169.0
00:11:50,325.9,480.6,629.6,760.6,875.1,20.2,343.3,88.5,886.5,92.4,5.01,988.0,2.79,278.0
00:11:55,326.1,471.2,632.5,773.3,869.1,20.1,344.6,86.9,901.8,91.5,5.31,1033.7,2.84,193.0
00:12:00,324.5,463.8,622.2,764.9,873.3,20.0,345.9,87.2,907.9,93.1,4.9,993.4,3.26,222.0
00:12:05,323.2,462.5,627.6,773.1,871.8,19.8,343.5,87.9,909.9,93.2,5.04,938.3,2.85,298.0
00:12:10,320.9,481.4,634.3,770.0,870.8,20.3,345.0,87.2,906.1,92.3,5.04,993.0,2.82,207.0
00:12:15,326.6,474.2,617.5,768.2,894.3,19.3,339.5,87.5,900.3,92.9,4.73,1026.2,2.98,339.0
00:12:20,326.0,479.4,627.2,781.1,877.4,20.1,347.6,87.3,892.8,92.7,5.17,1013.7,3.18,217.0
00:12:25,324.6,473.6,625.7,771.6,879.4,19.9,353.5,87.1,886.9,93.3,5.02,994.9,2.92,371.0
00:12:30,319.8,465.5,628.1,765.8,870.7,19.7,348.9,87.0,900.3,92.6,5.16,1000.9,3.02,154.0
00:12:35,324.9,467.2,629.9,779.6,875.6,20.2,344.4,87.5,903.3,91.4,5.06,1004.3,3.18,201.0
00:12:40,326.5,469.8,622.9,765.2,870.3,19.7,342.9,88.0,906.7,92.8,4.86,980.1,2.89,236.0
00:12:45,325.0,473.4,625.0,781.4,872.0,20.5,342.4,88.0,891.1,92.6,4.84,979.7,2.91,308.0
00:12:50,325.5,476.6,639.7,775.5,875.0,19.9,343.4,88.0,895.9,92.7,5.14,1008.5,3.23,277.0
00:12:55,318.1,467.2,628.9,770.6,862.7,20.1,351.1,87.6,897.0,93.3,4.91,995.4,3.05,245.0
00:13:00,319.5,465.4,633.6,771.0,868.5,20.2,335.0,87.4,900.1,92.4,4.78,1027.5,3.16,203.0
00:13:05,324.7,469.5,626.1,775.2,881.1,20.0,352.8,88.4,905.4,92.2,4.71,1011.2,2.98,285.0
00:13:10,324.1,468.1,628.7,774.7,870.3,20.5,344.9,87.0,910.8,92.2,5.1,1003.1,2.71,281.0
00:13:15,327.3,469.3,622.6,773.0,876.3,19.9,341.8,88.3,886.6,93.2,4.91,1004.2,2.77,279.0
00:13:20,322.0,468.4,624.5,778.9,877.6,19.9,335.4,87.5,883.5,92.9,5.19,1002.3,2.93,249.0
00:13:25,326.5,468.7,627.5,775.3,875.5,20.4,340.1,88.0,896.7,92.8,5.21,1013.1,3.22,314.0
00:13:30,322.0,475.6,629.9,779.7,864.7,20.9,341.1,87.7,897.6,91.4,4.84,999.3,3.01,270.0
00:13:35,323.8,473.8,623.9,782.6,879.6,19.2,345.6,87.5,904.9,92.6,4.78,1020.8,3.25,245.0
00:13:40,319.9,480.0,623.0,766.9,880.9,19.2,335.9,88.6,906.4,92.9,5.09,977.8,2.76,223.0
00:13:45,323.1,477.7,625.2,770.8,870.2,19.6,341.5,87.1,896.8,91.9,5.19,987.6,2.98,197.0
00:13:50,326.5,469.4,619.5,774.5,870.8,19.9,343.4,86.9,890.6,91.7,4.82,978.1,2.53,336.0
00:13:55,325.4,481.0,624.5,781.6,866.1,20.6,345.5,88.3,909.7,92.8,5.22,1011.5,2.86,257.0
00:14:00,317.3,477.4,617.2,781.2,882.8,20.1,339.3,87.4,900.3,92.8,5.03,989.4,2.9,297.0
00:14:05,327.8,477.4,623.2,766.8,878.1,20.2,349.4,87.2,888.3,92.9,4.74,987.3,3.12,265.0
00:14:10,319.0,467.9,620.8,776.7,866.3,20.0,341.6,88.0,913.6,92.4,5.01,992.2,3.12,204.0
00:14:15,330.1,477.6,623.6,768.1,870.2,19.4,346.5,87.2,902.5,92.9,4.77,969.9,3.15,221.0
00:14:20,323.3,483.3,626.2,771.5,870.3,20.2,342.9,87.6,886.5,92.4,5.08,1027.5,2.93,383.0
00:14:25,325.6,472.0,615.4,774.3,872.0,19.4,348.1,87.4,893.8,92.5,4.92,986.9,3.16,133.0
00:14:30,319.1,476.5,609.2,766.4,879.6,20.3,351.3,87.9,889.4,92.4,4.92,1007.1,3.1,304.0
00:14:35,321.6,471.6,625.1,776.3,879.6,20.2,343.4,87.9,905.4,93.7,5.1,961.9,3.07,287.0
00:14:40,323.2,466.5,624.0,772.0,870.9,20.5,344.5,87.9,894.9,92.9,4.42,981.0,2.74,372.0
00:14:45,326.4,474.8,619.0,777.1,863.0,20.0,345.7,87.6,923.3,91.9,5.21,1022.3,2.75,254.0
00:14:50,324.2,474.6,622.8,775.4,879.4,20.5,338.5,87.5,905.4,91.7,4.9,987.7,3.31,158.0
00:14:55,321.8,476.6,637.7,761.6,875.5,19.7,349.3,88.7,886.9,92.1,4.84,996.6,3.0,251.0
00:15:00,333.7,470.6,621.2,765.1,874.3,20.0,342.9,87.0,900.0,92.0,5.03,1012.6,3.15,154.0
00:15:05,331.8,475.1,632.2,771.6,872.7,20.2,345.8,87.8,907.5,92.4,5.03,990.7,3.13,371.0
00:15:10,318.4,490.5,619.4,779.6,878.9,19.4,339.9,86.5,904.7,92.3,5.18,982.6,3.18,263.0
00:15:15,328.5,479.0,632.8,771.6,861.6,20.4,344.9,88.1,907.9,93.2,4.67,961.2,3.04,170.0
00:15:20,336.9,476.3,624.3,785.6,873.6,20.5,348.7,87.5,903.1,92.8,4.84,974.0,3.09,206.0
00:15:25,327.2,475.6,632.9,773.8,891.3,20.0,342.1,87.3,899.0,91.7,5.14,1000.1,3.03,185.0
00:15:30,327.1,470.2,628.6,777.0,871.5,20.1,345.4,87.4,895.5,92.6,5.13,1007.6,2.72,203.0
00:15:35,322.7,486.9,618.0,766.4,870.6,19.9,350.1,87.7,887.2,93.0,4.84,1030.7,2.73,331.0
00:15:40,319.9,477.9,625.6,780.5,873.4,20.1,344.7,87.2,907.8,92.4,5.16,992.6,2.98,172.0
00:15:45,323.0,485.4,628.7,769.4,883.5,19.7,339.4,87.8,903.6,93.0,5.04,967.4,2.64,263.0
00:15:50,324.6,478.4,628.9,775.8,885.0,19.8,341.2,88.0,888.1,92.8,4.91,1010.7,3.18,233.0
00:15:55,322.6,481.8,619.9,776.5,876.8,20.8,341.2,87.9,897.8,92.1,4.88,1001.6,2.71,252.0
00:16:00,327.9,473.3,628.1,778.0,867.8,20.2,347.0,87.9,894.0,92.4,4.94,982.0,2.77,218.0
00:16:05,315.9,469.5,625.3,771.3,873.5,19.5,343.5,87.6,891.7,92.8,5.23,1002.2,2.69,207.0
00:16:10,320.7,474.0,626.2,770.2,873.6,19.8,338.3,87.9,902.7,92.2,4.96,1027.4,3.36,241.0
00:16:15,332.3,465.6,619.7,778.8,873.2,20.1,348.7,87.4,893.1,92.2,4.96,976.3,3.26,248.0
00:16:20,322.9,464.8,613.4,775.9,873.1,19.7,361.2,87.1,893.3,92.6,4.4,998.2,2.92,223.0
00:16:25,329.6,472.4,632.6,778.5,875.3,20.6,339.3,87.3,896.0,92.1,4.92,1006.9,3.13,162.0
00:16:30,321.1,479.3,622.8,778.7,886.5,19.6,343.1,87.3,896.5,92.4,5.14,994.4,3.27,281.0
00:16:35,322.4,472.8,622.8,778.3,869.7,20.0,343.9,87.6,918.0,93.0,4.89,967.4,3.08,276.0
00:16:40,326.6,476.0,619.2,779.4,876.9,20.7,340.9,88.0,904.7,92.2,5.15,1018.1,2.76,196.0
00:16:45,332.5,468.5,620.3,774.3,877.1,20.7,337.7,87.1,910.0,91.8,4.93,1029.0,3.15,211.0
00:16:50,317.7,480.0,620.7,783.2,872.5,20.3,343.6,87.5,885.1,92.7,4.9,988.5,2.65,270.0
00:16:55,327.3,464.7,624.5,782.6,873.1,20.0,342.2,87.1,904.5,92.5,4.86,1001.2,3.29,298.0
00:17:00,329.5,463.8,625.5,772.5,873.9,20.9,341.1,87.2,897.2,92.9,4.9,992.3,2.93,179.0
00:17:05,327.2,474.3,622.7,777.7,872.1,20.4,342.5,87.2,914.4,92.1,4.98,983.9,3.33,236.0
00:17:10,315.4,483.9,617.2,778.1,887.8,20.2,337.0,87.9,906.5,92.9,4.95,981.6,2.93,231.0
00:17:15,328.7,465.4,615.0,776.3,879.9,19.5,341.7,86.8,886.1,92.1,5.05,1007.0,3.04,181.0
00:17:20,329.4,484.5,617.1,785.6,874.3,20.8,341.9,87.3,889.7,93.2,5.08,991.2,3.02,245.0
00:17:25,329.9,472.1,631.9,776.6,871.5,20.1,360.2,87.0,892.9,93.2,5.08,992.4,3.16,227.0
00:17:30,323.4,476.9,624.6,770.8,870.5,20.1,331.6,87.8,909.1,92.0,5.21,970.4,2.76,273.0
00:17:35,318.1,471.4,626.9,778.4,878.2,19.7,340.6,87.6,901.8,92.5,4.8,976.1,3.01,213.0
00:17:40,327.1,479.3,628.5,775.9,872.1,19.8,341.8,86.5,884.9,91.9,4.82,1003.1,3.05,222.0
00:17:45,323.0,468.3,631.7,767.8,861.4,20.5,344.2,86.8,912.0,92.0,5.06,984.9,3.11,323.0
00:17:50,320.8,463.2,629.9,779.5,876.6,19.8,350.0,87.6,890.0,92.7,5.04,998.4,2.74,298.0
00:17:55,323.1,485.6,626.9,780.8,870.2,20.4,343.3,88.1,874.7,92.8,5.22,983.2,3.06,122.0
00:18:00,325.8,473.7,624.7,774.0,869.4,20.0,344.7,87.3,908.8,92.5,5.05,992.9,2.62,150.0
00:18:05,317.3,473.1,623.8,772.3,871.5,19.9,344.7,87.0,889.5,92.0,4.93,978.0,2.93,166.0
