Time,Cement_Temperature_C,Silo_Level_Percent,Compressive_Strength_3day_MPa,Compressive_Strength_28day_MPa,Setting_Time_Initial_min,Setting_Time_Final_min,Soundness_mm,Packing_Rate_bags_min,Bag_Weight_kg,Dust_Emission_mg_Nm3,Dispatch_Rate_tph
00:02:10,85.6,52.2,30.5,52.0,42.0,307.0,3.06,11.8,49.75,8.5,43.5
00:02:15,74.8,70.6,29.6,50.5,41.0,298.0,2.48,11.8,50.09,11.6,51.2
00:02:20,88.1,45.2,30.5,51.8,40.0,303.0,3.13,11.8,49.91,10.6,40.5
00:02:25,71.8,58.5,29.7,49.2,43.0,292.0,2.78,11.2,50.08,9.2,49.4
00:02:30,80.6,55.3,29.5,50.5,45.0,280.0,2.97,11.5,50.06,7.4,48.2
00:02:35,81.5,67.7,30.4,49.6,50.0,300.0,2.54,11.5,50.01,10.5,43.5
00:02:40,80.9,52.6,27.9,50.1,46.0,310.0,2.43,12.0,50.07,10.6,41.9
00:02:45,69.9,50.0,30.0,50.9,47.0,294.0,2.68,12.1,49.99,10.6,41.7
00:02:50,80.0,62.2,30.9,50.2,45.0,285.0,1.61,11.5,50.13,7.0,40.0
00:02:55,86.1,47.5,32.3,50.3,48.0,308.0,2.42,11.9,50.03,11.0,46.6
00:03:00,82.5,62.1,29.9,49.4,48.0,329.0,3.47,12.1,50.02,11.5,45.1
00:03:05,80.6,66.5,29.7,50.6,47.0,285.0,1.84,11.6,49.87,9.6,47.0
00:03:10,77.6,48.2,29.8,50.7,43.0,298.0,2.05,11.8,49.76,8.4,44.0
00:03:15,79.3,56.1,30.4,48.1,45.0,297.0,2.84,11.5,49.89,9.4,45.9
00:03:20,81.9,58.5,28.3,48.4,41.0,304.0,1.81,12.2,49.94,8.7,44.7
00:03:25,84.1,59.0,31.4,49.5,46.0,300.0,2.52,11.9,49.92,12.3,43.5
00:03:30,83.0,74.6,28.1,52.5,41.0,300.0,3.62,11.7,50.08,9.4,46.9
00:03:35,78.2,48.6,29.6,50.3,46.0,280.0,2.19,12.4,50.03,9.7,41.4
00:03:40,76.0,61.0,30.1,52.3,45.0,310.0,2.64,11.4,50.04,7.5,49.0
00:03:45,77.7,51.2,31.2,50.4,45.0,314.0,1.92,11.5,49.94,11.1,49.8
00:03:50,86.2,51.0,30.3,51.8,45.0,292.0,2.49,12.3,49.98,7.8,44.9
00:03:55,88.8,39.9,31.4,50.6,48.0,311.0,3.04,13.8,49.86,10.7,48.5
00:04:00,77.1,49.4,29.3,50.5,43.0,282.0,2.79,11.4,49.87,13.9,46.9
00:04:05,81.1,50.6,29.8,50.5,43.0,305.0,3.35,12.2,50.07,13.6,42.5
00:04:10,77.5,53.0,29.9,49.2,47.0,310.0,2.44,11.5,50.12,10.6,42.5
00:04:15,83.7,51.6,30.4,49.5,51.0,305.0,3.26,11.4,50.12,10.8,43.3
00:04:20,79.7,57.6,28.0,50.7,45.0,302.0,2.76,12.5,49.92,7.3,44.0
00:04:25,89.2,43.1,28.9,50.6,44.0,280.0,2.46,11.4,49.82,8.9,46.8
00:04:30,83.0,61.3,30.0,49.7,46.0,307.0,2.36,12.2,49.96,9.6,45.2
00:04:35,84.3,54.6,28.8,49.9,39.0,286.0,2.4,12.7,50.05,5.7,40.8
00:04:40,76.3,62.3,31.6,49.8,46.0,300.0,1.99,12.0,49.9,6.7,47.4
00:04:45,78.8,50.4,30.7,49.3,43.0,308.0,1.7,13.0,49.98,10.1,46.4
00:04:50,84.9,56.8,31.0,50.4,47.0,313.0,2.9,11.5,49.92,10.7,45.8
00:04:55,82.2,60.9,27.7,49.1,44.0,276.0,1.89,12.2,50.06,8.4,50.7
00:05:00,81.7,48.6,28.2,50.8,46.0,294.0,3.41,12.0,50.09,11.8,49.1
00:05:05,82.1,53.6,29.9,50.8,47.0,306.0,2.68,11.9,50.02,9.6,42.3
00:05:10,81.3,47.1,29.4,50.2,43.0,299.0,2.21,11.1,50.05,5.7,46.3
00:05:15,78.2,60.5,30.0,48.2,44.0,297.0,3.07,11.6,49.97,8.1,44.7
00:05:20,76.0,59.8,28.7,50.5,46.0,291.0,2.66,12.5,50.14,7.4,46.2
00:05:25,81.1,54.7,29.7,50.2,43.0,289.0,2.42,12.7,49.81,8.8,46.7
00:05:30,73.4,55.8,29.7,48.1,49.0,260.0,1.98,11.4,49.95,11.8,44.7
00:05:35,82.5,66.0,29.8,49.0,43.0,321.0,1.43,11.3,49.92,13.5,41.1
00:05:40,80.7,58.0,30.0,49.5,46.0,288.0,2.62,11.0,49.94,7.2,44.4
00:05:45,84.2,53.1,29.4,50.8,41.0,281.0,2.05,12.1,49.96,10.6,47.1
00:05:50,75.7,52.3,31.3,50.6,46.0,296.0,2.68,11.5,50.0,11.7,43.0
00:05:55,82.7,53.2,28.9,50.0,42.0,308.0,2.04,12.6,49.98,10.5,48.6
00:06:00,80.8,49.0,28.1,49.9,45.0,312.0,2.53,12.0,50.06,8.1,39.6
00:06:05,70.3,52.1,32.1,51.1,45.0,297.0,3.06,12.5,49.88,9.0,46.8
00:06:10,83.9,63.7,30.3,50.5,45.0,302.0,2.56,12.0,50.03,9.3,43.6
00:06:15,79.7,49.5,30.7,51.4,45.0,301.0,2.47,11.6,50.05,8.9,43.7
00:06:20,84.6,62.6,30.1,50.7,45.0,308.0,2.34,11.8,50.02,10.2,44.3
00:06:25,75.9,55.9,29.1,50.6,49.0,291.0,1.72,12.2,50.06,10.0,45.3
00:06:30,77.8,75.4,30.2,48.8,44.0,326.0,2.82,11.7,50.01,9.1,42.9
00:06:35,80.3,60.6,29.2,48.4,45.0,287.0,2.32,12.1,49.85,8.5,43.6
00:06:40,80.9,44.5,26.5,49.7,46.0,296.0,2.81,12.4,49.95,12.2,44.0
00:06:45,80.3,69.4,30.8,48.5,48.0,290.0,1.37,11.4,49.97,10.4,44.8
00:06:50,68.9,61.3,31.5,50.0,46.0,274.0,2.46,11.5,50.08,12.2,44.0
00:06:55,79.4,45.5,30.0,50.6,46.0,315.0,3.0,12.0,49.97,9.4,43.4
00:07:00,77.6,56.8,30.7,49.5,42.0,302.0,2.09,12.1,49.88,10.4,43.7
00:07:05,69.4,55.6,31.0,49.4,46.0,308.0,2.14,11.2,49.78,8.9,47.4
00:07:10,82.5,59.8,31.3,50.4,48.0,294.0,2.81,11.3,49.97,12.8,45.8
00:07:15,80.9,40.5,28.7,50.1,45.0,303.0,2.46,12.8,50.05,8.9,49.2
00:07:20,86.1,62.3,30.2,51.0,46.0,311.0,2.31,11.1,50.12,10.9,48.1
00:07:25,79.5,50.8,29.7,48.3,40.0,301.0,2.61,11.9,49.97,10.3,47.0
00:07:30,83.0,44.3,29.9,49.8,50.0,298.0,2.66,11.3,50.09,10.5,41.2
00:07:35,76.5,57.1,29.3,51.0,45.0,265.0,2.09,11.8,50.04,8.3,44.5
00:07:40,82.4,60.4,29.9,49.2,42.0,294.0,1.78,11.8,50.03,8.0,45.0
00:07:45,87.0,45.2,30.5,51.2,48.0,294.0,2.12,12.1,49.93,13.4,44.7
00:07:50,77.0,58.9,30.4,51.8,45.0,294.0,1.77,12.0,50.05,8.5,43.6
00:07:55,73.2,44.0,28.4,48.5,46.0,297.0,2.11,11.3,50.06,6.8,44.7
00:08:00,89.0,50.8,30.5,51.0,44.0,304.0,2.27,12.9,49.88,4.2,44.7
00:08:05,78.0,50.8,30.1,51.2,43.0,295.0,3.01,11.7,49.95,10.0,40.8
00:08:10,87.0,50.0,30.0,50.9,48.0,299.0,2.69,12.3,50.04,10.7,49.2
00:08:15,82.8,55.5,28.6,53.7,47.0,280.0,2.07,11.0,49.9,9.5,46.6
00:08:20,81.7,42.5,28.7,50.9,40.0,302.0,2.15,12.8,50.01,9.0,39.9
00:08:25,76.1,42.5,29.2,50.5,44.0,303.0,2.67,11.4,50.03,10.1,41.9
00:08:30,82.4,58.3,30.8,49.1,44.0,293.0,2.29,11.4,49.86,6.1,45.1
00:08:35,79.2,62.0,30.7,51.5,45.0,314.0,1.78,10.8,50.1,9.4,44.7
00:08:40,76.6,62.5,30.7,53.8,51.0,298.0,2.43,12.4,50.01,10.1,44.3
00:08:45,82.9,44.1,32.4,50.1,48.0,291.0,3.51,12.5,50.02,10.3,48.0
00:08:50,81.0,73.1,30.5,49.3,48.0,313.0,2.78,11.9,49.96,8.5,49.2
00:08:55,74.7,51.9,29.1,50.5,45.0,289.0,2.46,11.7,50.06,12.7,49.2
00:09:00,77.9,44.1,29.7,48.0,48.0,292.0,2.41,12.2,49.94,10.9,47.4
00:09:05,81.3,42.5,30.9,48.3,50.0,297.0,2.24,12.2,49.99,11.5,44.5
00:09:10,86.1,51.7,30.3,49.9,41.0,306.0,3.03,11.6,50.04,13.0,50.9
00:09:15,80.5,53.8,30.7,50.5,44.0,291.0,2.13,12.9,50.05,5.5,45.9
00:09:20,91.2,54.0,30.4,49.0,43.0,325.0,1.75,11.0,49.94,13.8,45.7
00:09:25,82.3,51.1,30.3,51.1,45.0,302.0,2.78,11.3,49.72,7.6,42.9
00:09:30,81.6,45.4,30.3,49.7,44.0,310.0,2.32,11.2,50.18,6.9,47.3
00:09:35,75.0,52.2,28.7,50.8,44.0,316.0,2.82,12.8,50.02,5.8,41.0
00:09:40,79.8,67.1,28.9,50.6,44.0,285.0,2.08,12.9,50.02,6.7,47.9
00:09:45,82.6,56.5,29.3,47.9,47.0,315.0,2.62,12.2,49.84,9.0,43.6
00:09:50,77.1,52.2,30.9,50.0,47.0,308.0,2.94,12.2,50.1,6.8,40.3
00:09:55,84.5,42.5,31.0,50.3,42.0,297.0,2.2,11.5,50.15,10.3,42.6
00:10:00,85.4,71.2,31.2,48.9,47.0,292.0,2.29,11.8,50.01,10.5,49.1
00:10:05,82.3,65.8,30.7,50.8,42.0,318.0,3.1,12.5,49.97,6.9,43.7
00:10:10,78.0,55.0,28.9,49.5,41.0,302.0,2.68,12.3,49.93,9.3,45.3
00:10:15,76.3,57.7,29.9,49.4,40.0,293.0,3.01,11.2,49.96,12.9,42.1
00:10:20,88.5,53.8,29.1,51.4,50.0,291.0,1.93,11.8,49.9,13.7,43.3
00:10:25,81.9,51.3,30.1,49.2,44.0,297.0,2.35,12.7,50.06,8.2,46.2
00:10:30,82.9,53.1,30.3,49.5,47.0,297.0,3.43,11.9,50.26,10.4,43.0
00:10:35,78.4,51.9,31.3,49.7,45.0,281.0,1.71,11.5,49.93,8.7,46.0
00:10:40,84.4,70.3,29.9,50.1,43.0,309.0,3.0,12.7,50.02,14.0,42.0
00:10:45,76.8,59.9,31.8,50.0,47.0,304.0,1.19,11.9,50.11,7.2,43.9
00:10:50,79.7,45.8,30.0,50.1,42.0,293.0,2.44,11.3,49.95,9.7,50.1
00:10:55,75.7,55.7,28.8,50.0,40.0,305.0,3.19,12.4,49.77,9.3,46.4
00:11:00,90.1,63.8,27.8,49.4,48.0,305.0,1.82,11.7,49.9,9.2,44.6
00:11:05,82.3,53.7,28.9,51.1,39.0,285.0,2.76,11.7,49.94,8.5,48.5
00:11:10,85.7,50.9,30.3,48.6,52.0,289.0,2.79,12.7,49.9,11.2,42.6
00:11:15,74.3,54.7,32.2,49.4,44.0,280.0,2.55,10.9,50.04,8.1,45.2
00:11:20,79.8,45.9,30.4,50.8,39.0,300.0,2.81,13.5,50.06,12.8,47.6
00:11:25,87.0,59.3,29.7,50.3,43.0,319.0,2.16,11.8,50.07,10.4,45.5
00:11:30,82.3,52.0,32.1,48.3,47.0,285.0,2.7,12.2,50.05,10.7,44.2
00:11:35,81.9,47.4,31.1,49.3,38.0,314.0,2.47,11.8,50.11,11.6,44.9
00:11:40,74.1,58.7,30.6,48.8,44.0,313.0,2.35,12.7,50.08,11.7,43.4
00:11:45,78.4,72.9,30.1,49.5,45.0,313.0,2.38,12.2,50.24,11.7,50.2
00:11:50,79.5,61.2,28.9,50.6,45.0,295.0,3.03,12.6,50.06,13.1,45.3
00:11:55,75.3,51.9,31.4,50.2,46.0,305.0,2.45,12.0,49.95,10.3,39.0
00:12:00,79.2,56.6,29.2,49.7,49.0,291.0,2.62,11.2,50.07,10.1,46.6
00:12:05,80.6,41.7,28.4,48.6,48.0,280.0,1.95,12.1,50.0,9.0,44.7
00:12:10,85.2,49.4,30.0,49.2,48.0,294.0,2.27,11.1,50.14,9.0,44.9
00:12:15,75.3,53.3,30.1,48.5,40.0,290.0,2.45,12.0,49.98,8.9,42.0
00:12:20,76.1,56.1,29.4,49.6,46.0,276.0,2.01,12.2,50.12,11.4,43.4
00:12:25,78.8,70.1,30.6,51.0,44.0,309.0,2.72,11.0,50.08,12.5,46.4
00:12:30,80.7,52.1,32.4,51.3,43.0,285.0,2.74,12.1,50.08,9.8,46.5
00:12:35,80.1,44.2,29.5,52.2,41.0,298.0,2.73,12.5,50.07,11.1,50.2
00:12:40,79.4,61.6,32.1,50.0,47.0,314.0,3.19,13.1,49.7,8.5,47.8
00:12:45,77.2,62.1,29.9,50.8,44.0,288.0,2.57,12.0,50.0,11.4,48.5
00:12:50,80.4,44.7,31.4,50.9,50.0,298.0,1.24,12.2,49.99,10.1,49.1
00:12:55,86.0,63.9,29.1,48.1,46.0,287.0,2.42,11.0,49.91,10.1,45.6
00:13:00,78.5,69.1,30.0,52.2,48.0,314.0,2.63,11.8,50.02,12.8,44.1
00:13:05,80.9,52.9,29.2,50.3,45.0,316.0,2.72,11.9,50.05,6.9,40.5
00:13:10,78.4,60.4,28.6,50.2,46.0,305.0,3.09,12.1,50.14,8.2,47.1
00:13:15,77.1,72.2,29.4,50.5,42.0,297.0,2.01,12.0,50.18,8.9,48.1
00:13:20,77.7,52.6,31.0,50.8,42.0,298.0,2.87,13.2,49.98,9.3,48.3
00:13:25,80.4,69.1,29.6,50.2,46.0,294.0,1.69,12.9,50.01,10.3,41.5
00:13:30,78.3,57.0,29.7,48.4,40.0,298.0,3.62,11.0,49.96,11.8,51.0
00:13:35,79.6,47.0,31.6,50.4,46.0,306.0,1.89,11.6,50.1,8.0,46.0
00:13:40,78.7,55.9,30.2,50.2,47.0,280.0,1.94,12.3,50.15,7.2,55.8
00:13:45,80.2,41.5,29.9,50.6,47.0,296.0,1.62,11.8,49.88,8.9,43.7
00:13:50,81.4,45.8,29.4,49.6,48.0,297.0,3.22,11.2,50.02,9.7,42.0
00:13:55,79.8,53.4,31.5,50.2,47.0,276.0,2.52,12.7,49.9,10.8,42.4
00:14:00,91.4,57.3,29.7,51.0,42.0,286.0,2.49,11.8,49.99,7.9,45.3
00:14:05,84.1,46.1,29.4,51.7,43.0,296.0,2.69,11.6,49.87,10.5,48.0
00:14:10,74.1,52.2,29.6,50.5,44.0,275.0,2.73,11.8,49.97,7.6,48.9
00:14:15,74.4,61.0,28.9,51.0,40.0,302.0,0.87,11.8,49.96,11.7,46.8
00:14:20,78.8,51.7,28.6,51.5,44.0,301.0,2.17,13.6,50.23,11.0,44.2
00:14:25,76.0,60.2,30.4,50.3,46.0,312.0,2.28,11.8,50.06,10.3,45.5
00:14:30,75.1,54.7,29.3,48.5,45.0,314.0,2.79,12.4,50.02,9.4,42.9
00:14:35,75.0,49.9,30.5,49.6,43.0,290.0,2.97,12.1,50.01,8.8,44.4
00:14:40,78.4,55.4,31.0,50.5,45.0,302.0,1.98,12.7,50.0,8.6,45.3
00:14:45,81.7,69.4,32.2,50.0,39.0,288.0,2.89,11.6,49.96,10.7,50.3
00:14:50,77.8,69.1,30.7,49.1,44.0,304.0,2.29,11.6,49.98,11.0,44.0
00:14:55,80.8,59.2,30.9,51.7,43.0,297.0,2.06,12.1,50.1,9.5,45.0
00:15:00,73.4,43.1,29.1,51.1,46.0,279.0,2.2,11.8,49.91,7.3,45.4
00:15:05,78.6,52.5,29.5,49.5,44.0,314.0,2.71,12.8,50.08,10.6,42.6
00:15:10,80.7,52.8,31.1,49.9,43.0,320.0,2.1,11.7,50.16,13.1,43.3
00:15:15,79.1,55.9,30.8,51.5,39.0,292.0,3.42,11.7,49.92,12.9,49.0
00:15:20,74.5,55.5,30.3,51.2,49.0,296.0,2.83,11.4,49.95,8.7,46.4
00:15:25,76.0,58.6,30.4,51.0,50.0,290.0,2.4,11.6,50.04,11.7,45.4
00:15:30,76.8,52.7,29.9,49.7,39.0,321.0,1.54,11.7,50.07,9.8,42.7
00:15:35,79.9,57.4,31.0,50.5,44.0,325.0,2.78,11.8,49.98,12.8,44.8
00:15:40,80.7,50.2,30.4,51.0,46.0,312.0,2.15,12.4,50.01,8.0,42.8
00:15:45,74.9,50.3,29.2,50.8,51.0,308.0,2.5,12.9,50.05,7.2,44.4
00:15:50,88.8,53.5,29.8,50.1,41.0,282.0,2.58,13.0,50.12,11.4,40.5
00:15:55,82.1,49.5,30.7,51.3,43.0,304.0,3.2,11.5,50.15,11.1,41.6
00:16:00,81.9,55.7,30.1,50.7,47.0,319.0,2.51,12.2,49.79,8.9,45.0
00:16:05,75.8,54.4,30.1,49.6,45.0,283.0,2.93,12.3,49.96,7.8,40.4
00:16:10,81.8,35.1,30.1,50.6,45.0,300.0,2.74,11.2,50.14,8.2,43.6
00:16:15,83.3,63.8,30.1,47.9,49.0,311.0,2.39,11.8,49.86,10.6,48.7
00:16:20,81.0,53.9,29.6,50.3,43.0,295.0,2.25,11.6,50.12,11.5,48.0
00:16:25,82.8,44.0,29.8,49.9,46.0,301.0,1.97,10.9,50.06,7.2,42.6
00:16:30,74.7,57.3,31.5,48.9,45.0,283.0,2.64,12.0,49.97,12.0,47.3
00:16:35,80.9,58.7,29.6,51.4,43.0,297.0,2.94,11.3,49.92,12.6,45.9
00:16:40,87.6,53.1,29.1,50.4,47.0,296.0,2.57,13.0,50.0,11.4,44.1
00:16:45,82.0,53.5,28.1,49.5,45.0,301.0,1.24,11.3,49.85,8.0,49.2
00:16:50,81.3,49.3,29.1,50.4,49.0,297.0,2.48,11.5,50.04,12.1,40.3
00:16:55,85.7,47.1,30.8,50.2,46.0,281.0,2.21,12.8,49.89,10.4,47.1
00:17:00,76.2,46.5,28.9,51.1,41.0,284.0,2.69,12.1,50.14,13.7,44.2
00:17:05,83.8,61.4,31.1,48.9,42.0,302.0,2.01,11.6,50.21,13.1,46.6
00:17:10,70.5,41.1,30.2,48.7,54.0,329.0,3.62,12.0,49.99,8.7,45.1
00:17:15,76.5,54.7,28.9,50.4,49.0,286.0,2.26,12.5,49.9,14.9,46.7
00:17:20,76.1,45.5,29.5,49.3,43.0,330.0,2.79,11.9,49.86,12.0,44.0
00:17:25,85.2,42.6,30.7,51.3,48.0,292.0,2.25,12.2,49.9,8.2,46.7
00:17:30,72.7,55.6,29.6,49.2,44.0,276.0,2.71,11.4,50.12,12.0,45.1
00:17:35,79.1,52.4,30.2,49.9,45.0,303.0,2.39,10.9,50.02,11.8,45.6
00:17:40,78.6,48.4,29.8,49.4,48.0,289.0,2.31,12.1,50.0,7.7,45.3
00:17:45,80.0,47.8,30.6,50.5,46.0,315.0,1.78,10.9,50.03,10.5,47.6
00:17:50,76.4,46.6,30.1,48.7,46.0,305.0,2.92,12.1,49.97,9.9,41.3
00:17:55,77.1,57.6,29.2,50.3,42.0,311.0,2.24,12.4,50.06,10.4,44.3
00:18:00,78.7,56.3,29.9,49.9,43.0,295.0,2.52,13.1,49.9,8.2,51.8
00:18:05,81.7,51.1,30.4,50.3,48.0,278.0,2.35,11.9,50.1,11.7,43.2
00:18:10,74.9,53.1,30.4,48.3,45.0,296.0,1.43,12.2,50.08,10.8,39.9
00:18:15,88.6,56.4,28.8,50.7,46.0,291.0,2.24,11.0,50.13,7.6,47.5
00:18:20,86.3,46.6,32.6,49.3,42.0,301.0,2.29,12.0,49.99,7.6,43.3
00:18:25,79.2,64.9,29.4,48.9,47.0,297.0,2.53,12.0,50.02,8.6,49.3
00:18:30,82.7,55.9,29.8,49.9,47.0,306.0,2.73,10.8,50.01,7.1,45.9
00:18:35,84.4,60.5,30.6,50.3,44.0,307.0,1.78,12.3,49.99,10.6,39.5
00:18:40,77.0,49.1,30.1,50.0,46.0,313.0,2.67,11.7,50.09,12.8,45.1
00:18:45,74.7,55.5,31.5,50.3,53.0,322.0,2.27,11.0,50.18,7.9,41.5
00:18:50,86.3,57.9,29.1,51.8,46.0,299.0,1.11,13.3,50.02,10.3,47.5
00:18:55,81.1,52.6,30.7,49.2,47.0,309.0,2.22,11.6,50.03,7.7,45.7
00:19:00,77.8,45.8,29.9,50.0,48.0,303.0,3.31,11.8,50.2,10.3,46.5
00:19:05,81.2,65.4,30.4,51.0,43.0,304.0,2.39,12.8,49.96,6.5,43.2
00:19:10,72.4,60.4,29.4,52.5,42.0,284.0,3.04,12.6,50.13,12.5,43.3
00:19:15,83.6,46.3,31.7,51.6,47.0,304.0,2.62,11.7,49.94,8.3,45.6
00:19:20,83.1,49.5,30.0,48.9,49.0,302.0,2.52,13.4,50.04,8.6,49.8
00:19:25,78.7,61.6,30.0,50.3,45.0,283.0,1.63,12.8,50.02,11.4,49.7
00:19:30,83.3,53.1,32.3,52.1,46.0,291.0,3.58,11.9,49.89,9.2,47.5
00:19:35,80.6,42.9,30.5,50.8,46.0,289.0,2.43,11.3,49.98,9.7,39.4
00:19:40,78.9,51.9,29.2,49.1,39.0,317.0,2.53,12.4,49.97,10.4,49.8
00:19:45,82.1,54.0,28.6,49.7,51.0,289.0,2.67,12.3,50.04,8.8,40.3
00:19:50,83.2,47.4,30.0,49.4,43.0,316.0,2.11,12.5,49.97,8.9,36.4
00:19:55,82.9,60.5,28.5,50.6,43.0,299.0,1.59,11.4,50.11,10.4,45.8
00:20:00,72.9,53.1,27.2,50.4,44.0,315.0,2.0,12.3,49.9,12.2,47.1
00:20:05,79.3,50.2,30.5,51.1,41.0,304.0,2.57,11.1,49.91,9.0,40.4
00:20:10,82.8,57.9,30.3,51.2,45.0,285.0,2.25,12.4,49.98,13.2,45.9
00:20:15,84.6,59.3,30.3,51.4,47.0,302.0,2.61,11.7,50.13,11.1,41.2
00:20:20,81.8,51.3,29.5,49.9,47.0,296.0,2.06,12.4,49.9,11.5,46.7
00:20:25,77.9,46.6,28.8,49.4,43.0,309.0,2.84,11.7,49.98,10.9,42.7
00:20:30,82.6,64.0,28.1,50.4,45.0,303.0,2.94,12.3,49.89,10.6,44.7
00:20:35,75.0,55.5,32.2,50.8,43.0,308.0,2.36,11.3,50.12,5.7,40.2
00:20:40,76.3,57.2,29.2,50.5,46.0,319.0,2.74,12.8,50.0,10.6,46.7
00:20:45,82.5,47.5,29.8,50.8,45.0,313.0,3.17,12.4,49.88,6.8,45.6
00:20:50,80.3,65.5,30.0,51.1,43.0,283.0,1.63,12.9,49.8,10.7,48.2
00:20:55,76.3,56.1,30.0,49.7,48.0,301.0,3.42,13.1,50.05,8.6,43.6
00:21:00,81.2,60.1,28.9,51.6,39.0,286.0,2.54,12.2,49.93,9.1,46.2
00:21:05,75.6,57.7,30.7,50.3,45.0,299.0,2.61,11.9,49.93,7.0,44.6
00:21:10,81.8,53.6,30.3,49.7,41.0,307.0,2.15,12.7,50.12,7.1,47.9
00:21:15,85.8,48.1,29.1,48.9,46.0,303.0,2.03,11.5,50.03,13.1,43.8
00:21:20,79.5,57.7,27.8,50.0,41.0,296.0,2.85,12.0,50.04,7.8,44.2
00:21:25,85.1,64.7,31.4,49.7,41.0,288.0,3.24,11.4,49.94,10.8,53.7
00:21:30,75.2,60.9,29.0,50.3,41.0,309.0,2.03,12.0,49.88,8.7,45.8
00:21:35,78.5,56.2,29.8,48.8,43.0,297.0,1.82,13.1,49.99,7.1,50.2
00:21:40,82.4,48.5,29.3,50.1,45.0,295.0,2.28,12.1,50.11,11.3,49.1
00:21:45,80.9,65.6,29.2,50.2,41.0,295.0,2.25,12.1,49.87,9.3,43.0
00:21:50,81.7,62.0,27.7,48.9,44.0,302.0,2.47,12.8,49.79,10.9,40.6
00:21:55,83.2,53.7,30.7,50.3,41.0,297.0,2.58,11.5,50.13,9.6,46.8
00:22:00,82.3,51.1,31.1,49.6,42.0,292.0,2.76,12.1,50.09,10.8,45.0
00:22:05,73.3,63.7,31.0,50.8,44.0,268.0,2.45,11.1,49.86,9.3,47.4
00:22:10,83.7,58.7,29.1,50.3,44.0,325.0,2.46,12.9,49.97,8.4,48.6
00:22:15,74.7,56.5,31.6,49.4,48.0,296.0,2.68,12.7,49.94,10.0,50.3
00:22:20,82.1,64.6,31.6,49.9,43.0,299.0,2.47,12.3,50.02,9.2,45.3
00:22:25,74.9,58.8,32.1,51.1,40.0,278.0,2.54,12.4,49.88,9.4,39.3
00:22:30,82.1,57.5,30.0,51.2,45.0,315.0,3.01,12.3,49.95,11.2,42.3
00:22:35,78.2,58.9,29.3,50.2,44.0,291.0,3.26,12.2,50.23,11.0,43.4
00:22:40,83.0,41.8,30.4,48.7,47.0,312.0,2.49,12.1,50.07,9.4,45.9
00:22:45,83.4,48.0,29.2,49.9,50.0,309.0,2.21,12.0,50.05,12.9,44.0
