Timestamp,Feed Size (mm),Product Size (mm),Mill Power 1 (kW),Mill Inlet Temp (°C),Blending Efficiency (%),C5 Temp (°C),Heat Recovery Eff (%),Fuel Flow Rate (t/h),Primary Fuel Flow (t/h),Secondary Air Temp (°C),Kiln Drive Power (kW),Clinker Inlet Temp (°C),Cooling Air Flow (m³/min),Mill Power 2 (kW),Packing Rate (bags/min),Target_eff
2025-04-04 21:00:00,965,21.6,1859,103,91.1,878,87.7,4.9,9.7,952,1016,1319,511,2195,12.6,73
2025-04-04 22:00:00,963,21.6,1853,103,90.9,878,87.7,4.9,9.7,954,1019,1320,510,2198,12.6,73
2025-04-04 23:00:00,957,21.6,1850,103,90.9,877,87.7,4.9,9.7,960,1016,1317,509,2201,12.6,73
2025-04-05 00:00:00,958,21.7,1851,102,91,878,87.8,4.9,9.7,959,1020,1321,511,2200,12.6,73
2025-04-05 01:00:00,959,21.5,1850,102,90.9,878,87.8,4.9,9.7,958,1012,1321,508,2197,12.6,73.1
2025-04-05 02:00:00,959,21.5,1856,102,90.9,878,87.9,4.9,9.6,962,1014,1323,507,2200,12.7,72.7
2025-04-05 03:00:00,958,21.4,1850,102,90.9,878,87.9,5,9.6,963,1009,1321,507,2193,12.6,73.1
2025-04-05 04:00:00,953,21.5,1847,102,91.2,878,87.9,4.9,9.6,960,1007,1319,508,2202,12.7,72.8
2025-04-05 05:00:00,951,21.4,1853,103,91,878,88,4.9,9.6,962,1005,1319,507,2205,12.9,72.4
2025-04-05 06:00:00,950,21.5,1854,103,91.2,878,88.1,4.9,9.6,963,1010,1323,507,2204,12.9,72.3
2025-04-05 07:00:00,947,21.5,1857,104,91.1,879,88,4.9,9.4,958,1008,1322,504,2208,12.8,72.1
2025-04-05 08:00:00,946,21.5,1865,104,91,880,88.1,4.9,9.4,956,1008,1320,505,2211,12.9,72
2025-04-05 09:00:00,948,21.4,1863,105,90.9,880,88.1,4.9,9.5,956,1006,1321,509,2212,12.9,71.9
2025-04-05 10:00:00,955,21.4,1862,105,90.9,880,88.2,5,9.5,961,1002,1324,505,2203,12.8,72.4
2025-04-05 11:00:00,956,21.4,1861,106,91,880,88.2,5,9.5,963,998,1323,503,2205,12.9,72.2
2025-04-05 12:00:00,957,21.4,1853,105,91.2,880,88.3,5,9.4,961,999,1322,505,2212,12.9,72.2
2025-04-05 13:00:00,956,21.4,1852,105,91.3,879,88.3,5,9.5,959,999,1324,511,2209,13,72.1
2025-04-05 14:00:00,949,21.2,1856,105,91.2,881,88.3,5,9.5,961,1002,1326,512,2214,12.9,71.9
2025-04-05 15:00:00,949,21.1,1858,105,91.4,881,88.4,5,9.6,954,1001,1325,511,2218,13,71.9
2025-04-05 16:00:00,949,21.1,1860,106,91.4,881,88.4,5.1,9.5,952,1000,1327,510,2220,13,71.5
2025-04-05 17:00:00,959,21.1,1859,106,91.3,881,88.4,5,9.5,956,1003,1329,508,2221,13,71.8
2025-04-05 18:00:00,958,21.1,1856,106,91.3,881,88.5,5,9.6,957,1002,1329,509,2224,13,71.9
2025-04-05 19:00:00,959,21.1,1861,106,91.2,881,88.6,5,9.5,955,996,1330,512,2226,13,71.7
2025-04-05 20:00:00,959,21.2,1859,106,91.2,881,88.5,5.1,9.5,951,999,1332,514,2235,13,71.6
2025-04-05 21:00:00,954,21.2,1860,106,91.2,880,88.5,5.1,9.5,953,997,1330,514,2240,12.8,71.8
2025-04-05 22:00:00,959,21.1,1861,107,91.1,879,88.6,5.1,9.4,954,997,1333,512,2244,12.8,71.5
2025-04-05 23:00:00,962,21.2,1867,107,91.1,880,88.6,5,9.5,953,994,1333,515,2249,12.9,71.8
2025-04-06 00:00:00,965,21.1,1871,107,91.2,880,88.7,5.1,9.5,954,991,1336,518,2252,12.8,71.4
2025-04-06 01:00:00,962,21.1,1866,107,91.2,880,88.6,5.1,9.5,955,983,1336,516,2242,12.9,71.2
2025-04-06 02:00:00,967,21.1,1861,107,91.3,880,88.7,5.1,9.4,955,984,1337,515,2241,12.9,71.1
2025-04-06 03:00:00,962,21.2,1863,107,91.3,880,88.8,5.1,9.4,951,971,1338,517,2238,13,70.8
2025-04-06 04:00:00,964,21.1,1863,107,91.2,881,88.8,5.1,9.4,948,976,1339,516,2240,13,70.8
2025-04-06 05:00:00,973,21,1861,107,91.3,880,88.8,5.1,9.5,950,980,1342,516,2237,13,71.1
2025-04-06 06:00:00,969,21,1865,107,91.3,880,88.8,5.1,9.5,952,976,1343,513,2240,13.1,70.9
2025-04-06 07:00:00,966,21,1866,107,91.3,881,88.8,5.1,9.5,953,983,1343,511,2238,13.1,71
2025-04-06 08:00:00,967,21,1866,107,91.1,881,88.9,5.1,9.4,951,991,1345,511,2246,13.1,71
2025-04-06 09:00:00,965,21.1,1869,107,91.1,880,89,5.1,9.4,953,990,1346,510,2255,13,71.1
2025-04-06 10:00:00,959,21.1,1868,107,90.9,881,89,5.1,9.5,952,992,1351,507,2247,13,71.3
2025-04-06 11:00:00,959,21,1874,107,90.7,881,89.1,5.1,9.5,956,992,1352,507,2249,12.9,71.2
2025-04-06 12:00:00,955,21.1,1871,107,90.6,881,89.1,5.1,9.6,954,998,1355,505,2247,12.9,71.5
2025-04-06 13:00:00,957,21.1,1873,107,90.5,882,89.1,5.1,9.6,952,993,1356,505,2248,12.9,71.5
2025-04-06 14:00:00,953,21.2,1879,107,90.5,882,89.1,5.1,9.6,952,992,1352,507,2251,12.8,71.6
2025-04-06 15:00:00,959,21.2,1874,108,90.4,881,89.1,5.1,9.6,955,995,1351,506,2245,12.8,71.6
2025-04-06 16:00:00,956,21.1,1872,108,90.5,882,89.1,5.1,9.6,954,999,1350,505,2240,12.7,71.6
2025-04-06 17:00:00,955,21.1,1877,108,90.5,883,89.1,5.1,9.6,955,998,1347,508,2235,12.6,71.6
2025-04-06 18:00:00,958,21,1882,108,90.3,883,89.1,5.1,9.6,953,1004,1346,509,2233,12.6,71.5
2025-04-06 19:00:00,953,21,1881,108,90.3,882,89,5.2,9.6,954,1005,1343,511,2230,12.7,71.1
2025-04-06 20:00:00,954,21.1,1878,108,90.3,882,89,5.2,9.5,954,1005,1341,506,2234,12.6,71.3
2025-04-06 21:00:00,959,21.2,1882,108,90.3,883,89,5.2,9.6,952,1008,1342,505,2235,12.6,71.5
2025-04-06 22:00:00,953,21.2,1886,108,90.3,884,88.9,5.2,9.6,952,1008,1345,504,2231,12.5,71.5
2025-04-06 23:00:00,953,21.3,1882,107,90.3,883,89,5.2,9.5,952,1008,1343,502,2229,12.6,71.5
2025-04-07 00:00:00,954,21.3,1877,107,90.4,883,88.9,5.1,9.5,959,1005,1340,504,2217,12.6,71.7
2025-04-07 01:00:00,958,21.2,1878,106,90.2,883,88.9,5.2,9.5,958,1017,1339,503,2227,12.6,71.5
2025-04-07 02:00:00,953,21.2,1880,106,90.2,882,88.9,5.2,9.5,955,1015,1339,500,2228,12.5,71.7
2025-04-07 03:00:00,947,21.3,1879,106,90.4,882,88.9,5.2,9.5,956,1018,1336,501,2233,12.4,71.8
2025-04-07 04:00:00,949,21.3,1882,106,90.5,882,88.9,5.2,9.5,953,1025,1334,501,2236,12.3,71.9
2025-04-07 05:00:00,951,21.3,1879,105,90.6,883,88.9,5.2,9.5,950,1020,1333,499,2236,12.4,72
2025-04-07 06:00:00,952,21.3,1871,106,90.7,883,88.8,5.2,9.4,945,1023,1333,501,2224,12.4,71.7
2025-04-07 07:00:00,953,21.4,1869,106,90.8,883,88.8,5.1,9.5,943,1023,1334,502,2222,12.3,72.2
2025-04-07 08:00:00,950,21.5,1869,106,91,882,88.8,5.1,9.5,941,1030,1334,503,2223,12.3,72
2025-04-07 09:00:00,951,21.5,1868,106,91,882,88.9,5.1,9.6,937,1026,1333,504,2224,12.3,72.2
2025-04-07 10:00:00,952,21.6,1863,107,90.9,883,89,5.1,9.6,936,1023,1332,506,2229,12.3,72.1
2025-04-07 11:00:00,950,21.6,1856,107,90.9,883,88.9,5.2,9.5,929,1023,1332,506,2229,12.3,71.7
2025-04-07 12:00:00,957,21.6,1854,108,91.2,883,88.9,5.2,9.5,931,1021,1330,503,2238,12.2,71.9
2025-04-07 13:00:00,959,21.6,1858,108,91,883,88.9,5.1,9.5,929,1019,1333,503,2233,12.4,71.9
2025-04-07 14:00:00,954,21.5,1863,107,91,884,88.9,5.1,9.5,928,1027,1330,500,2235,12.3,72
2025-04-07 15:00:00,957,21.6,1867,107,90.8,884,88.9,5.1,9.6,930,1028,1329,497,2230,12.4,72
2025-04-07 16:00:00,953,21.5,1864,107,90.8,884,88.9,5.2,9.5,931,1025,1330,501,2235,12.3,71.8
2025-04-07 17:00:00,956,21.5,1860,107,90.7,884,88.8,5.2,9.5,929,1023,1330,498,2231,12.2,72
2025-04-07 18:00:00,961,21.5,1862,107,90.7,883,88.7,5.1,9.5,930,1025,1331,496,2222,12.2,72.2
2025-04-07 19:00:00,957,21.5,1864,107,90.5,883,88.8,5.1,9.6,935,1026,1334,497,2215,12.1,72.4
2025-04-07 20:00:00,961,21.5,1866,107,90.6,882,88.7,5.1,9.6,932,1024,1336,499,2212,12.1,72.4
2025-04-07 21:00:00,963,21.4,1858,106,90.7,883,88.8,5.1,9.5,934,1017,1334,496,2220,12.1,72.5
2025-04-07 22:00:00,966,21.4,1854,106,90.7,882,88.8,5.1,9.5,931,1017,1331,496,2224,12.1,72.6
2025-04-07 23:00:00,974,21.4,1854,106,90.7,882,88.7,5.1,9.5,934,1017,1331,495,2226,12,72.9
2025-04-08 00:00:00,973,21.5,1856,106,90.6,882,88.7,5.1,9.5,932,1014,1332,496,2226,12.1,72.8
2025-04-08 01:00:00,970,21.5,1859,106,90.7,882,88.8,5.1,9.5,930,1019,1334,495,2220,12.1,72.6
2025-04-08 02:00:00,966,21.5,1860,106,90.7,883,88.8,5.1,9.5,933,1022,1333,493,2216,12.1,72.4
2025-04-08 03:00:00,963,21.4,1861,106,90.7,883,88.8,5.1,9.5,935,1022,1332,492,2213,12,72.4
2025-04-08 04:00:00,963,21.4,1861,107,90.9,882,88.8,5.1,9.6,933,1021,1331,493,2210,12,72.4
2025-04-08 05:00:00,964,21.4,1864,107,90.8,882,88.8,5.1,9.5,934,1028,1331,497,2206,12.1,72.2
2025-04-08 06:00:00,965,21.4,1865,106,90.7,883,88.9,5.1,9.5,932,1023,1334,498,2202,12.1,72.3
2025-04-08 07:00:00,968,21.5,1866,107,90.8,883,88.9,5.1,9.5,927,1021,1334,497,2202,12.1,72.2
2025-04-08 08:00:00,968,21.5,1865,107,90.7,882,88.9,5.1,9.5,927,1019,1334,494,2198,12,72.3
2025-04-08 09:00:00,974,21.5,1865,106,90.5,882,88.9,5.1,9.5,926,1020,1336,494,2204,12.1,72.4
2025-04-08 10:00:00,973,21.4,1867,106,90.5,882,88.9,5.1,9.5,923,1023,1339,493,2209,12.1,72.2
2025-04-08 11:00:00,984,21.3,1868,106,90.6,882,88.8,5.1,9.5,927,1018,1339,494,2212,12,72.5
2025-04-08 12:00:00,987,21.3,1869,106,90.5,883,88.8,5.1,9.5,925,1015,1341,494,2215,12,72.6
2025-04-08 13:00:00,983,21.2,1875,107,90.4,882,88.8,5.1,9.5,925,1017,1345,495,2207,12,72.2
2025-04-08 14:00:00,979,21.1,1876,107,90.4,882,88.8,5.1,9.6,928,1014,1345,494,2218,12.1,72.3
2025-04-08 15:00:00,981,21.1,1873,107,90.3,882,88.9,5.1,9.7,928,1012,1344,497,2217,12.1,72.5
2025-04-08 16:00:00,980,21.1,1877,107,90.3,882,88.9,5.1,9.7,925,1013,1348,499,2221,12.2,72.4
2025-04-08 17:00:00,983,21.1,1871,107,90.2,882,89,5,9.7,926,1009,1350,497,2225,12.2,72.7
2025-04-08 18:00:00,985,21.2,1867,107,90.2,881,88.9,5.1,9.7,928,1010,1350,499,2220,12.2,72.7
2025-04-08 19:00:00,984,21.2,1868,107,90.1,881,89,5.1,9.7,930,1013,1352,497,2217,12.3,72.4
2025-04-08 20:00:00,981,21.2,1870,107,90,881,88.9,5.1,9.7,936,1013,1349,495,2219,12.3,72.5
2025-04-08 21:00:00,975,21.2,1865,107,90,882,89,5.1,9.7,935,1019,1352,494,2211,12.3,72.2
2025-04-08 22:00:00,973,21.2,1864,107,90,882,89,5.1,9.8,935,1021,1348,496,2210,12.2,72.5
2025-04-08 23:00:00,977,21.2,1861,107,90,883,88.9,5.1,9.8,931,1021,1350,496,2198,12.2,72.4
2025-04-09 00:00:00,977,21.2,1859,107,89.9,883,88.9,5.1,9.8,933,1020,1349,495,2199,12.3,72.3
2025-04-09 01:00:00,972,21.1,1863,107,89.8,882,89,5.1,9.8,934,1027,1345,495,2205,12.3,72.2
2025-04-09 02:00:00,973,21.1,1866,107,89.9,881,88.9,5.1,9.8,933,1024,1341,496,2205,12.3,72.3
2025-04-09 03:00:00,975,21.1,1866,107,90.1,881,88.9,5.1,9.8,931,1023,1341,499,2198,12.2,72.5
2025-04-09 04:00:00,971,21,1864,107,89.9,880,88.9,5.1,9.8,930,1022,1342,496,2195,12.2,72.3
2025-04-09 05:00:00,972,21.1,1858,107,89.9,880,88.8,5,9.8,931,1023,1339,499,2198,12.3,72.7
2025-04-09 06:00:00,972,21.1,1864,107,89.9,880,88.7,5.1,9.8,928,1032,1337,495,2199,12.3,72.1
2025-04-09 07:00:00,967,21,1866,107,89.9,881,88.8,5.1,9.8,927,1033,1336,496,2201,12.2,72.1
2025-04-09 08:00:00,969,21,1864,107,90,880,88.7,5.1,9.9,927,1032,1337,499,2201,12.1,72.5
2025-04-09 09:00:00,971,21.1,1867,107,89.9,880,88.8,5,9.9,923,1033,1339,501,2197,12.1,72.7
2025-04-09 10:00:00,975,21.1,1866,107,89.9,880,88.9,5,9.9,920,1028,1339,502,2197,12,72.9
2025-04-09 11:00:00,980,21.2,1865,107,89.8,880,89,5,9.9,918,1027,1341,500,2198,12.1,72.9
2025-04-09 12:00:00,974,21.3,1867,107,90,880,88.9,5,9.9,922,1034,1343,502,2203,12.1,72.8
2025-04-09 13:00:00,970,21.4,1864,107,89.9,879,88.8,5,9.9,920,1036,1342,500,2201,12.2,72.7
2025-04-09 14:00:00,972,21.3,1863,107,89.9,880,88.8,5,9.9,920,1041,1344,498,2201,12.2,72.6
2025-04-09 15:00:00,974,21.3,1863,106,90,880,88.8,5,9.9,917,1045,1341,497,2200,12.2,72.6
2025-04-09 16:00:00,977,21.3,1861,106,89.9,879,88.7,5,9.9,914,1042,1342,496,2211,12.1,72.8
2025-04-09 17:00:00,992,21.3,1864,107,89.9,879,88.6,5,9.9,910,1050,1340,497,2208,12.1,72.8
2025-04-09 18:00:00,994,21.3,1871,107,89.7,879,88.6,5,9.9,912,1043,1340,495,2206,12.1,72.8
2025-04-09 19:00:00,999,21.3,1868,107,89.6,879,88.6,5,9.8,908,1044,1343,496,2201,12.1,72.6
2025-04-09 20:00:00,1003,21.4,1861,107,89.6,879,88.5,5,9.8,911,1036,1343,493,2207,12.2,72.7
2025-04-09 21:00:00,1005,21.3,1853,107,89.5,879,88.5,5,9.7,912,1029,1343,493,2214,12.2,72.7
2025-04-09 22:00:00,1004,21.4,1853,107,89.5,880,88.5,5,9.8,912,1033,1343,493,2213,12.1,72.9
2025-04-09 23:00:00,1007,21.3,1850,108,89.5,880,88.5,5,9.8,915,1030,1345,495,2219,12.1,72.9
2025-04-10 00:00:00,1004,21.3,1851,108,89.4,879,88.5,5,9.8,924,1035,1349,497,2221,12.1,73
2025-04-10 01:00:00,1003,21.3,1852,109,89.5,880,88.5,5,9.8,925,1026,1350,496,2224,12.2,72.8
2025-04-10 02:00:00,1001,21.3,1845,108,89.6,879,88.5,5,9.9,922,1026,1349,493,2219,12.2,73.1
2025-04-10 03:00:00,1001,21.4,1838,108,89.6,880,88.5,5,9.8,926,1021,1349,490,2220,12.3,73
2025-04-10 04:00:00,1011,21.3,1839,109,89.7,881,88.4,5,9.8,927,1020,1347,492,2230,12.1,73
