Time,Limestone_Proportion_Percent,Clay_Proportion_Percent,Iron_Ore_Proportion_Percent,LSF,SM_Silica_Modulus,AM_Alumina_Modulus,Raw_Mill_Feed_Rate_tph,Mill_Power_Consumption_kW,Raw_Meal_Fineness_Percent_R90um,Mill_Inlet_Temperature_C,Blending_Efficiency_Percent,Standard_Deviation_LSF_Percent
00:01:25,80.2,15.6,4.21,94.71,2.466,1.65,129.8,1802.0,13.0,97.3,90.0,0.93
00:01:30,79.7,16.6,3.01,95.62,2.55,1.545,126.9,1906.0,11.3,101.4,90.2,1.03
00:01:35,79.1,14.7,3.33,94.12,2.549,1.549,129.1,1778.0,10.7,102.5,89.6,1.0
00:01:40,79.7,16.5,3.67,94.83,2.49,1.563,114.7,1683.0,11.5,102.1,89.3,0.89
00:01:45,79.9,15.3,3.21,94.46,2.491,1.441,121.3,1889.0,12.4,98.2,91.0,1.01
00:01:50,80.9,15.5,3.37,96.04,2.508,1.555,120.9,1755.0,12.1,92.6,90.6,0.84
00:01:55,79.4,17.4,3.69,95.5,2.425,1.609,125.0,1802.0,11.9,91.8,89.5,1.04
00:02:00,81.9,15.4,3.28,94.9,2.484,1.541,122.9,1776.0,11.4,99.8,88.6,1.19
00:02:05,80.7,17.1,3.79,95.21,2.477,1.589,124.2,1859.0,11.4,99.9,89.0,0.82
00:02:10,79.7,16.1,3.55,96.08,2.517,1.577,128.2,1776.0,11.8,95.2,90.1,1.05
00:02:15,80.7,17.2,3.49,94.52,2.536,1.599,119.1,1836.0,11.7,110.0,90.1,0.96
00:02:20,82.4,14.8,3.75,93.82,2.522,1.577,127.2,1743.0,12.6,102.1,89.6,1.14
00:02:25,80.3,14.9,3.67,94.26,2.522,1.678,128.3,1799.0,13.2,102.2,88.5,1.2
00:02:30,80.7,16.8,3.75,94.54,2.446,1.602,122.1,1777.0,11.7,97.7,89.8,1.0
00:02:35,81.2,17.4,3.1,95.27,2.472,1.681,125.2,1779.0,11.9,97.0,91.2,1.1
00:02:40,80.1,16.0,3.81,95.42,2.482,1.644,124.6,1812.0,12.3,95.0,89.2,1.06
00:02:45,80.4,15.6,3.57,94.71,2.469,1.611,119.0,1757.0,10.6,97.6,90.9,0.99
00:02:50,78.5,16.1,3.33,94.82,2.514,1.725,124.2,1764.0,11.7,97.4,89.9,0.85
00:02:55,79.3,15.1,3.46,94.98,2.517,1.594,131.4,1815.0,12.1,97.9,89.8,1.04
00:03:00,79.7,15.0,3.7,95.42,2.499,1.556,124.0,1844.0,11.0,98.7,90.0,1.06
00:03:05,78.7,17.4,3.66,94.28,2.506,1.628,111.5,1756.0,11.9,97.4,91.0,0.91
00:03:10,76.4,15.9,3.2,94.42,2.544,1.702,125.9,1789.0,12.9,95.8,89.5,0.97
00:03:15,81.5,17.0,3.61,95.86,2.512,1.695,131.2,1747.0,11.0,97.8,89.7,1.04
00:03:20,80.2,15.8,3.28,95.74,2.542,1.635,128.2,1734.0,11.9,107.2,89.9,0.92
00:03:25,81.7,16.2,3.26,95.47,2.461,1.58,122.9,1799.0,12.0,99.1,90.0,1.04
00:03:30,78.0,15.7,3.54,93.49,2.506,1.67,133.3,1839.0,12.1,101.5,90.3,1.07
00:03:35,80.5,16.7,4.04,95.32,2.498,1.67,132.6,1792.0,12.4,104.1,90.1,0.91
00:03:40,81.2,16.4,3.78,94.83,2.449,1.593,131.2,1780.0,11.4,110.7,88.6,0.89
00:03:45,81.7,16.7,3.18,95.17,2.505,1.572,120.7,1808.0,12.3,101.6,89.6,1.09
00:03:50,78.1,15.7,3.91,94.44,2.519,1.661,135.1,1788.0,11.5,104.4,90.5,0.88
00:03:55,77.1,14.8,3.83,95.45,2.492,1.551,138.1,1784.0,11.5,102.2,90.0,0.99
00:04:00,80.8,16.4,2.8,95.06,2.498,1.519,127.6,1806.0,12.9,95.7,89.6,0.99
00:04:05,81.2,15.5,3.74,95.49,2.521,1.708,124.9,1809.0,11.9,104.0,89.6,1.0
00:04:10,79.9,16.8,2.96,96.28,2.485,1.669,119.4,1797.0,11.9,102.8,91.3,1.05
00:04:15,81.2,16.5,3.49,95.21,2.49,1.691,121.9,1825.0,11.0,101.9,88.9,1.07
00:04:20,81.9,16.9,3.3,95.45,2.51,1.571,123.0,1795.0,12.0,104.2,89.0,0.97
00:04:25,80.1,15.7,3.4,94.09,2.471,1.56,129.8,1771.0,10.9,97.5,89.6,0.99
00:04:30,78.7,16.2,3.46,94.97,2.403,1.616,126.9,1768.0,12.8,107.4,89.7,0.9
00:04:35,81.4,15.6,3.56,95.78,2.522,1.638,139.4,1781.0,12.5,105.6,91.7,1.1
00:04:40,81.2,15.2,3.65,94.94,2.464,1.627,119.2,1763.0,12.3,99.6,89.6,1.02
00:04:45,80.7,17.4,3.61,95.6,2.515,1.582,140.0,1785.0,11.6,94.6,89.8,0.93
00:04:50,80.0,16.2,3.43,94.09,2.557,1.578,135.9,1797.0,12.4,97.3,91.4,1.1
00:04:55,80.8,16.7,3.26,95.28,2.458,1.583,121.7,1738.0,12.2,101.8,91.1,0.97
00:05:00,80.9,15.7,3.47,95.37,2.5,1.626,127.1,1800.0,12.0,103.1,89.3,0.92
00:05:05,80.4,15.5,3.3,94.55,2.549,1.651,127.0,1859.0,11.0,102.1,90.4,1.05
00:05:10,81.4,15.7,3.5,94.07,2.471,1.696,126.4,1746.0,12.2,102.4,90.0,0.93
00:05:15,80.4,16.6,3.28,94.24,2.532,1.573,123.2,1761.0,12.7,97.3,90.6,0.91
00:05:20,79.0,15.4,3.61,95.44,2.494,1.587,116.4,1789.0,12.0,96.4,91.1,0.92
00:05:25,81.6,16.2,4.05,94.87,2.488,1.565,126.2,1833.0,12.5,100.9,90.5,0.92
00:05:30,79.4,15.7,3.84,94.88,2.514,1.546,125.4,1798.0,12.1,100.7,91.0,0.98
00:05:35,81.4,17.1,3.69,94.62,2.532,1.625,129.2,1792.0,12.8,105.2,89.8,0.88
00:05:40,81.8,15.8,2.62,95.2,2.523,1.576,125.3,1801.0,11.4,103.9,91.1,0.9
00:05:45,79.4,14.9,3.47,94.78,2.583,1.629,124.1,1768.0,12.5,100.3,91.1,0.96
00:05:50,78.6,17.2,3.01,94.99,2.499,1.554,131.1,1748.0,12.6,94.3,89.3,1.04
00:05:55,81.4,14.9,3.63,94.45,2.525,1.709,129.1,1811.0,11.2,101.5,90.4,0.98
00:06:00,81.3,15.8,3.4,94.64,2.485,1.468,115.3,1766.0,11.4,96.5,86.6,1.05
00:06:05,80.5,14.0,3.57,95.04,2.472,1.608,122.0,1834.0,11.9,102.7,88.8,0.89
00:06:10,79.5,16.8,3.53,95.08,2.459,1.58,129.8,1762.0,13.0,101.3,91.0,1.04
00:06:15,79.9,16.2,3.25,95.31,2.557,1.632,135.9,1837.0,11.5,110.6,89.0,1.09
00:06:20,80.4,15.5,3.34,94.47,2.513,1.587,125.8,1827.0,12.1,106.1,90.8,0.91
00:06:25,79.9,16.3,3.35,94.61,2.507,1.558,112.8,1887.0,11.8,98.6,90.4,0.82
00:06:30,78.6,16.6,3.3,93.85,2.524,1.601,114.4,1764.0,12.2,98.4,90.5,1.1
00:06:35,80.0,15.8,4.12,95.41,2.468,1.58,127.8,1809.0,12.5,105.7,90.2,0.82
00:06:40,81.8,15.2,3.41,95.08,2.46,1.641,129.8,1791.0,12.8,97.9,89.7,0.91
00:06:45,80.5,16.8,2.99,94.98,2.496,1.614,126.1,1817.0,12.2,100.3,90.8,0.99
00:06:50,81.0,16.5,3.46,95.23,2.521,1.607,134.5,1845.0,12.6,97.1,90.2,1.02
00:06:55,82.1,16.2,3.41,95.25,2.513,1.687,126.6,1832.0,11.3,97.8,90.5,1.07
00:07:00,83.0,15.9,3.55,94.73,2.476,1.533,120.5,1767.0,11.0,103.6,89.2,1.14
00:07:05,79.6,14.9,3.71,95.61,2.504,1.527,126.8,1795.0,11.9,97.8,90.8,0.93
00:07:10,80.4,16.2,3.64,94.98,2.503,1.598,116.5,1742.0,11.1,102.2,89.9,0.97
00:07:15,79.0,16.3,3.3,94.75,2.52,1.633,114.6,1887.0,12.5,99.7,90.3,0.95
00:07:20,80.0,16.3,3.46,95.09,2.537,1.61,125.7,1777.0,11.1,98.5,90.7,0.87
00:07:25,78.9,15.0,3.16,94.54,2.527,1.71,122.1,1770.0,13.0,99.9,88.9,1.02
00:07:30,81.5,14.8,3.05,95.72,2.445,1.579,115.8,1829.0,11.1,106.6,90.0,1.1
00:07:35,78.3,17.0,2.87,94.52,2.507,1.49,122.9,1784.0,12.4,101.0,87.8,0.96
00:07:40,82.0,16.0,4.04,94.54,2.393,1.584,126.5,1850.0,12.4,101.9,88.3,0.99
00:07:45,78.6,15.5,3.44,94.24,2.515,1.617,121.5,1827.0,11.1,96.8,88.8,0.9
00:07:50,80.6,15.9,3.54,95.63,2.559,1.602,118.5,1751.0,12.3,98.2,90.4,1.0
00:07:55,79.2,15.2,3.53,93.52,2.506,1.634,122.4,1796.0,11.7,102.3,90.8,1.09
00:08:00,80.0,16.4,3.42,94.16,2.475,1.639,116.8,1724.0,12.3,100.9,90.1,0.78
00:08:05,80.7,16.3,4.07,95.81,2.573,1.568,131.2,1874.0,12.9,103.2,91.4,1.09
00:08:10,81.4,14.9,3.42,94.73,2.498,1.667,123.5,1798.0,11.4,96.7,90.9,0.94
00:08:15,79.6,14.0,3.34,95.08,2.523,1.52,126.1,1775.0,13.3,98.5,91.2,0.88
00:08:20,79.0,16.7,3.64,95.17,2.483,1.681,114.4,1834.0,12.9,96.3,89.5,1.01
00:08:25,80.4,16.2,3.86,94.29,2.464,1.575,133.3,1730.0,12.3,96.9,89.5,1.12
00:08:30,80.4,15.8,3.36,95.03,2.465,1.614,129.3,1794.0,12.7,100.6,91.6,0.98
00:08:35,80.4,17.3,3.41,94.75,2.481,1.592,121.0,1857.0,12.2,103.5,90.3,1.0
00:08:40,79.1,16.2,3.48,95.13,2.49,1.557,126.1,1828.0,12.4,99.8,89.0,0.98
00:08:45,81.4,16.6,3.02,94.64,2.436,1.539,126.0,1867.0,12.2,97.1,90.5,0.83
00:08:50,77.5,15.5,3.26,95.33,2.554,1.639,114.4,1817.0,12.0,105.3,88.1,0.95
00:08:55,79.6,14.8,3.35,94.85,2.446,1.721,130.1,1841.0,11.0,103.2,91.0,1.06
00:09:00,79.7,16.3,3.52,95.04,2.448,1.508,124.0,1777.0,11.5,103.1,89.9,1.06
00:09:05,79.5,15.2,3.37,94.45,2.534,1.585,125.5,1797.0,12.6,94.8,89.5,1.08
00:09:10,79.5,14.2,3.03,95.05,2.497,1.669,116.5,1743.0,11.3,102.7,92.0,0.99
00:09:15,79.6,15.1,3.51,96.36,2.459,1.631,128.6,1803.0,12.0,101.2,91.7,0.99
00:09:20,79.3,16.5,3.49,95.0,2.473,1.597,114.2,1768.0,11.5,106.0,90.0,0.98
00:09:25,78.6,15.6,3.75,95.62,2.561,1.595,135.4,1843.0,11.9,88.7,90.0,1.03
00:09:30,79.6,14.9,3.26,96.26,2.545,1.63,121.3,1818.0,11.8,99.4,90.8,0.98
00:09:35,80.0,15.4,3.94,94.95,2.488,1.532,111.1,1815.0,12.1,97.1,89.5,1.14
00:09:40,78.9,15.5,3.72,95.16,2.444,1.529,126.4,1795.0,11.7,103.3,90.1,0.81
00:09:45,79.6,17.1,3.67,94.09,2.56,1.661,128.8,1772.0,11.9,98.8,89.3,0.9
00:09:50,81.9,16.5,3.21,95.05,2.513,1.632,124.8,1802.0,11.9,102.9,91.7,0.95
00:09:55,79.2,16.3,3.28,95.75,2.491,1.561,120.3,1825.0,12.0,100.8,89.9,0.89
00:10:00,80.3,17.6,3.06,95.15,2.526,1.571,123.8,1810.0,12.4,110.8,89.6,0.93
00:10:05,81.7,14.9,3.46,94.23,2.567,1.547,127.3,1768.0,12.3,95.5,89.7,1.13
00:10:10,79.4,15.7,3.4,95.59,2.531,1.599,108.0,1760.0,12.1,97.8,91.1,0.88
00:10:15,80.3,15.8,3.44,95.51,2.52,1.542,115.7,1817.0,11.9,95.4,91.0,1.12
00:10:20,80.3,16.7,3.43,95.99,2.532,1.535,135.0,1748.0,10.9,101.5,89.0,1.15
00:10:25,79.3,16.8,3.32,95.53,2.519,1.64,119.1,1816.0,12.9,102.1,90.2,1.2
00:10:30,77.8,16.8,3.45,95.09,2.516,1.676,127.4,1738.0,11.9,96.1,88.6,1.06
00:10:35,81.2,15.9,3.63,95.73,2.397,1.567,132.2,1853.0,11.5,106.8,89.4,1.11
00:10:40,80.4,16.4,3.36,94.72,2.451,1.516,127.0,1813.0,12.3,102.7,90.5,1.02
00:10:45,80.7,15.4,3.41,95.04,2.481,1.566,131.7,1797.0,11.8,110.0,89.3,1.2
00:10:50,78.7,15.6,3.4,95.38,2.472,1.646,134.7,1830.0,13.3,98.2,89.9,1.03
00:10:55,79.2,17.7,3.17,94.95,2.538,1.643,123.9,1825.0,12.1,101.2,89.5,1.01
00:11:00,81.8,16.4,3.42,94.63,2.421,1.628,131.7,1779.0,12.2,96.5,90.1,0.96
00:11:05,80.2,16.7,3.75,95.76,2.539,1.59,135.3,1798.0,11.9,96.3,88.3,0.96
00:11:10,81.6,15.1,4.06,94.43,2.5,1.653,121.0,1838.0,11.4,97.6,90.6,1.15
00:11:15,81.7,17.7,4.18,95.09,2.509,1.593,121.6,1797.0,11.8,97.1,90.2,1.1
00:11:20,78.5,14.7,3.49,94.59,2.469,1.519,126.4,1788.0,12.0,95.6,89.8,1.06
00:11:25,79.3,17.9,3.54,95.43,2.538,1.613,131.2,1795.0,12.2,102.4,90.5,1.07
00:11:30,79.7,15.3,3.65,95.3,2.56,1.568,121.4,1773.0,12.4,93.8,90.5,1.07
00:11:35,77.8,15.2,3.18,94.49,2.546,1.671,124.8,1835.0,12.7,99.7,87.6,1.04
00:11:40,81.0,16.0,3.53,94.12,2.503,1.566,133.8,1847.0,10.3,104.6,90.8,0.85
00:11:45,78.2,16.3,3.81,95.26,2.475,1.583,128.0,1803.0,11.9,95.8,88.6,0.99
00:11:50,79.9,16.4,3.02,94.83,2.443,1.624,119.0,1826.0,13.3,92.5,90.6,0.87
00:11:55,77.0,15.1,4.0,94.32,2.528,1.634,122.6,1774.0,11.5,108.7,89.9,1.19
00:12:00,80.5,16.5,3.45,95.68,2.534,1.682,119.7,1770.0,12.8,103.0,90.9,0.94
00:12:05,81.4,15.2,3.63,94.78,2.457,1.65,124.2,1823.0,11.0,101.1,91.1,1.1
00:12:10,80.3,16.5,3.56,94.8,2.494,1.574,129.5,1720.0,11.8,98.8,91.6,1.16
00:12:15,79.4,17.0,3.71,95.48,2.532,1.695,129.6,1743.0,11.2,100.8,87.1,0.74
00:12:20,80.9,15.8,4.0,94.14,2.51,1.527,119.7,1738.0,12.3,97.6,91.1,1.05
00:12:25,80.6,14.7,3.99,95.23,2.521,1.568,122.1,1862.0,12.4,101.7,90.5,1.25
00:12:30,79.3,16.3,3.31,95.18,2.425,1.65,120.0,1731.0,10.7,100.6,89.6,1.03
00:12:35,81.7,15.2,3.65,95.05,2.467,1.68,114.2,1833.0,13.2,98.5,90.9,0.97
00:12:40,79.8,16.7,3.38,94.81,2.561,1.534,134.1,1880.0,12.2,104.3,90.4,1.07
00:12:45,81.1,14.6,3.72,95.62,2.523,1.52,131.3,1702.0,12.2,99.8,90.6,1.24
00:12:50,80.6,15.7,3.51,93.93,2.48,1.566,133.0,1779.0,11.3,89.8,89.0,0.95
00:12:55,80.2,15.0,3.65,94.67,2.542,1.666,125.7,1837.0,11.8,103.1,91.9,0.89
00:13:00,79.9,15.7,3.9,95.87,2.504,1.734,130.8,1746.0,11.3,101.0,89.5,0.92
00:13:05,80.2,16.2,3.36,95.53,2.491,1.62,135.6,1826.0,11.4,96.3,90.8,0.96
00:13:10,78.7,17.4,3.57,95.76,2.513,1.662,124.1,1806.0,13.3,94.9,88.0,1.0
00:13:15,81.3,16.5,3.45,95.01,2.511,1.638,130.5,1725.0,12.9,102.9,91.6,1.06
00:13:20,81.5,17.6,3.47,95.29,2.503,1.678,122.6,1807.0,11.3,99.0,91.1,0.8
00:13:25,81.4,15.4,2.91,95.68,2.493,1.654,120.0,1781.0,12.3,100.2,88.6,0.96
00:13:30,80.6,16.0,2.72,94.66,2.509,1.53,119.7,1816.0,11.6,97.9,90.3,1.14
00:13:35,79.2,16.8,3.53,94.59,2.436,1.561,133.1,1853.0,11.9,94.3,88.9,0.92
00:13:40,79.1,16.2,3.5,95.12,2.521,1.582,134.5,1812.0,12.1,100.7,90.6,0.92
00:13:45,78.8,15.6,3.78,95.14,2.447,1.567,125.0,1860.0,11.7,102.6,90.5,0.86
00:13:50,77.2,14.9,3.41,95.6,2.471,1.603,127.3,1820.0,13.0,100.7,90.1,1.14
00:13:55,79.4,14.9,4.3,94.77,2.529,1.507,125.5,1785.0,12.1,97.4,90.5,0.99
00:14:00,81.9,16.2,3.61,94.47,2.48,1.699,126.3,1891.0,11.2,98.8,91.2,0.88
00:14:05,81.1,15.9,3.22,95.93,2.565,1.678,113.1,1770.0,11.2,94.1,89.9,1.15
00:14:10,79.8,15.7,3.64,95.3,2.545,1.54,122.7,1824.0,13.4,102.4,90.1,0.99
00:14:15,81.3,15.1,3.13,94.92,2.511,1.613,125.0,1825.0,12.0,96.6,91.1,0.92
00:14:20,79.6,15.4,3.39,94.52,2.504,1.613,112.3,1805.0,11.7,105.3,91.1,1.01
00:14:25,80.3,16.1,2.92,95.71,2.578,1.654,131.9,1876.0,12.1,104.4,89.7,0.89
00:14:30,79.8,14.7,3.04,95.5,2.546,1.578,124.1,1833.0,12.2,98.4,91.2,0.93
00:14:35,80.5,15.1,3.8,94.81,2.434,1.7,131.7,1822.0,12.2,95.4,89.4,0.86
00:14:40,80.8,14.5,3.8,95.52,2.491,1.55,127.2,1782.0,13.0,93.8,90.0,0.88
00:14:45,77.4,15.1,3.54,94.99,2.486,1.605,135.7,1884.0,10.2,100.4,91.3,0.89
00:14:50,80.3,17.6,3.24,95.33,2.485,1.619,125.5,1806.0,11.9,99.3,90.1,0.92
00:14:55,79.0,16.3,3.62,95.14,2.515,1.579,121.4,1892.0,11.8,97.4,88.9,0.93
00:15:00,79.9,16.3,3.59,95.04,2.525,1.507,130.8,1775.0,13.0,110.1,91.7,1.12
00:15:05,78.6,16.0,3.5,94.53,2.476,1.612,118.4,1800.0,12.3,100.9,89.8,1.11
00:15:10,82.1,16.0,2.46,93.09,2.512,1.486,123.9,1867.0,11.4,103.0,90.5,1.03
00:15:15,82.2,15.1,3.23,95.6,2.526,1.658,128.3,1773.0,10.8,91.9,88.1,1.08
00:15:20,80.6,15.6,3.38,95.06,2.445,1.645,120.6,1786.0,12.4,110.3,90.1,1.02
00:15:25,80.1,16.0,3.55,94.73,2.589,1.697,125.7,1760.0,11.7,105.1,89.2,0.93
00:15:30,82.0,15.1,3.82,94.98,2.501,1.481,121.5,1856.0,13.8,102.1,91.3,1.14
00:15:35,81.1,15.9,3.7,94.92,2.527,1.474,120.3,1774.0,12.5,97.8,90.0,0.98
00:15:40,79.6,16.3,3.19,93.79,2.503,1.682,126.9,1781.0,11.9,92.0,89.0,0.94
00:15:45,80.7,15.6,3.77,95.17,2.498,1.525,135.0,1759.0,11.1,100.6,89.0,1.2
00:15:50,78.7,17.5,3.84,95.57,2.441,1.536,133.0,1809.0,13.3,97.5,89.2,1.13
00:15:55,79.4,16.8,3.5,95.3,2.441,1.708,121.7,1773.0,11.9,94.4,89.8,0.97
00:16:00,80.4,15.9,3.62,93.77,2.528,1.667,124.8,1742.0,12.6,101.4,89.5,1.04
00:16:05,80.2,16.5,3.47,93.89,2.425,1.5,136.3,1712.0,11.7,100.2,90.8,1.08
00:16:10,79.0,15.6,3.33,94.67,2.512,1.47,132.8,1782.0,11.2,106.3,90.7,1.12
00:16:15,78.8,16.5,3.64,93.96,2.481,1.497,129.2,1849.0,12.2,101.3,89.7,0.92
00:16:20,79.6,15.1,3.56,95.29,2.528,1.687,129.4,1834.0,12.1,95.2,89.1,1.08
00:16:25,79.0,15.3,3.39,94.56,2.442,1.522,129.2,1799.0,12.8,94.8,87.8,1.0
00:16:30,79.3,14.9,3.45,95.66,2.482,1.695,119.8,1793.0,11.3,105.3,91.1,0.9
00:16:35,78.8,16.6,3.81,96.11,2.456,1.552,128.2,1791.0,11.8,101.6,90.8,1.08
00:16:40,78.3,15.4,3.43,95.53,2.476,1.641,127.4,1860.0,12.4,101.7,90.3,1.03
00:16:45,81.9,16.2,3.56,95.0,2.507,1.648,123.8,1830.0,11.1,96.3,90.8,0.94
00:16:50,82.7,14.3,3.99,94.41,2.509,1.524,130.7,1752.0,11.5,102.5,89.1,0.94
00:16:55,79.5,16.3,2.89,95.04,2.48,1.618,121.4,1799.0,11.9,104.6,88.9,0.81
00:17:00,80.4,15.3,3.3,94.52,2.502,1.581,126.2,1766.0,12.2,98.9,89.4,1.11
00:17:05,79.3,16.6,3.78,94.15,2.46,1.727,123.8,1771.0,12.3,95.4,89.2,0.92
00:17:10,78.3,16.0,3.54,94.72,2.494,1.588,126.0,1820.0,12.8,100.5,89.7,1.03
00:17:15,78.7,16.4,3.2,94.31,2.449,1.63,126.3,1773.0,12.2,95.5,91.3,0.94
00:17:20,79.0,15.7,3.59,94.92,2.472,1.607,117.5,1807.0,12.2,99.1,90.1,0.9
00:17:25,80.1,15.9,4.1,94.57,2.499,1.514,127.2,1823.0,12.1,101.2,89.4,1.1
00:17:30,77.8,15.5,3.66,94.51,2.397,1.646,128.3,1762.0,11.7,104.6,90.1,1.04
00:17:35,81.2,15.8,3.41,94.97,2.566,1.646,125.7,1817.0,12.6,99.0,88.7,0.92
00:17:40,78.8,14.8,3.72,95.34,2.509,1.612,115.2,1796.0,12.9,103.2,89.6,1.03
00:17:45,80.7,15.4,4.02,95.55,2.568,1.582,127.0,1818.0,11.5,102.8,89.6,0.93
00:17:50,77.7,15.9,3.03,94.67,2.565,1.622,126.9,1759.0,11.6,105.5,91.0,1.11
00:17:55,80.7,16.3,3.74,94.79,2.557,1.499,127.2,1820.0,12.3,108.7,92.2,0.99
00:18:00,79.9,16.6,3.61,94.07,2.553,1.511,115.1,1828.0,11.7,104.1,89.9,1.0
00:18:05,80.5,16.5,3.91,95.93,2.538,1.593,130.1,1834.0,12.5,103.7,87.7,1.09
00:18:10,79.9,15.9,4.07,96.06,2.529,1.749,123.0,1797.0,12.1,94.1,89.3,0.88
00:18:15,80.6,15.7,3.32,94.93,2.527,1.672,130.9,1787.0,11.6,101.2,91.8,1.04
00:18:20,79.9,15.7,3.32,95.39,2.486,1.519,129.2,1805.0,11.8,101.9,91.5,1.05
00:18:25,80.2,15.7,3.48,94.21,2.51,1.543,128.0,1892.0,12.3,97.6,91.6,0.99
00:18:30,80.1,15.9,3.36,95.17,2.515,1.626,116.8,1818.0,12.1,102.4,90.0,1.14
00:18:35,80.2,15.6,3.22,94.77,2.45,1.578,135.6,1786.0,12.6,102.1,89.6,0.99
00:18:40,79.2,16.1,3.23,95.2,2.514,1.629,122.5,1758.0,13.0,96.2,90.0,1.02
00:18:45,79.9,15.3,3.17,95.2,2.49,1.621,130.2,1781.0,12.0,97.5,90.0,0.88
00:18:50,77.5,15.2,3.14,94.73,2.45,1.591,127.2,1822.0,10.8,102.2,89.4,0.96
00:18:55,79.1,14.3,3.35,94.32,2.52,1.658,133.4,1805.0,12.4,105.8,89.4,1.11
00:19:00,80.3,16.2,3.65,96.26,2.51,1.6,126.2,1821.0,12.8,92.3,90.7,0.95
00:19:05,79.7,15.5,3.11,95.01,2.528,1.631,133.8,1842.0,10.5,97.6,89.9,1.02
00:19:10,81.0,15.6,3.29,94.57,2.468,1.65,127.0,1744.0,11.5,96.9,89.8,1.01
00:19:15,81.3,16.7,3.04,94.62,2.502,1.718,122.9,1834.0,11.3,96.7,90.7,0.94
00:19:20,81.3,15.6,3.72,95.25,2.454,1.526,128.1,1770.0,12.3,107.8,91.0,1.04
00:19:25,78.3,14.7,3.2,94.3,2.495,1.689,122.8,1806.0,13.3,101.6,89.3,0.89
00:19:30,80.1,15.5,3.49,95.19,2.528,1.606,114.8,1799.0,12.3,104.0,92.2,1.06
00:19:35,79.9,14.7,3.35,94.75,2.536,1.472,127.6,1858.0,12.3,102.1,90.3,1.09
00:19:40,79.8,15.1,3.6,95.68,2.507,1.532,123.2,1768.0,11.5,102.4,90.2,1.09
00:19:45,78.5,14.2,3.42,94.35,2.514,1.563,121.9,1755.0,11.8,97.1,91.1,1.04
00:19:50,80.6,18.1,3.07,95.77,2.563,1.755,123.0,1850.0,11.3,101.0,91.0,1.11
00:19:55,79.5,16.5,3.71,94.56,2.532,1.556,131.6,1804.0,11.6,96.6,90.0,1.08
00:20:00,81.2,16.1,3.53,94.63,2.494,1.583,124.2,1749.0,12.2,100.3,90.0,1.01
00:20:05,80.2,17.6,3.71,95.57,2.44,1.595,132.3,1826.0,12.6,100.5,90.5,0.94
00:20:10,79.7,16.9,3.04,94.39,2.473,1.532,124.1,1826.0,11.4,104.6,91.5,0.9
00:20:15,79.5,17.4,3.58,94.78,2.509,1.57,124.2,1789.0,12.5,99.0,89.4,1.16
00:20:20,80.1,16.2,3.22,95.32,2.468,1.648,137.9,1820.0,12.2,102.3,90.0,1.06
00:20:25,81.5,16.3,3.81,95.49,2.556,1.57,131.0,1767.0,12.1,99.3,90.5,0.95
00:20:30,79.2,16.3,3.71,94.65,2.544,1.646,126.3,1738.0,12.6,98.3,90.7,0.99
00:20:35,79.1,15.5,4.12,94.9,2.444,1.668,128.0,1761.0,13.2,94.1,90.1,0.87
