Time,Burning_Zone_Temperature_C,Material_Temperature_C,Flame_Temperature_C,Kiln_Rotation_Speed_RPM,Primary_Fuel_Flow_tph,Primary_Air_Flow_Nm3h,Secondary_Air_Temperature_C,Shell_Temperature_Zone1_C,Shell_Temperature_Zone2_C,Shell_Temperature_Zone3_C,Kiln_Filling_Degree_Percent,Kiln_Drive_Power_kW,Kiln_Exit_O2_Percent,NOx_Emissions_mg_Nm3,Free_Lime_Content_Percent
00:03:45,1450.2,1400.2,1917,3,10.43,17448,976.6,272.7,329.6,370.1,15.2,1009,2.37,582,1.21
00:03:50,1447.6,1397.6,1898.6,3.09,10.58,18029,983.6,271.1,326.5,377.3,15.2,1037,2.21,505,1.49
00:03:55,1451.9,1401.9,1924.9,3.03,10.53,16990,936.1,280,329.9,380.2,13.6,1041,2.53,603,1.27
00:04:00,1444,1394,1909.4,2.91,10.68,17774,963.5,279,330.8,375.7,14.7,1040,2.66,667,1.22
00:04:05,1449.2,1399.1,1865.2,3.32,9.84,17244,941.2,272.9,317.5,372.9,14.9,1015,2.2,573,1.21
00:04:10,1448.9,1398.8,1904.1,3.06,10.44,17185,905,265.4,325.9,376.5,13.9,1018,2.37,550,0.98
00:04:15,1451.3,1401.2,1897.1,2.89,10.8,17820,986.3,271.4,317.9,374.7,16,998,2.26,581,1.25
00:04:20,1453.2,1403.1,1907.3,2.92,10.04,18799,911.5,273.9,326.7,367.1,15.2,1005,2.56,687,1.3
00:04:25,1447.7,1397.7,1884.4,2.9,10.34,17396,998.4,272.6,332.7,369.8,15.1,969,2.51,633,1.68
00:04:30,1456.4,1406.3,1911.6,3.02,10.21,17531,963.1,281.5,326.7,375,14.7,945,2.35,541,1.31
00:04:35,1449.3,1399.2,1884.6,2.88,9.82,17826,927.9,271.4,323.5,367.2,15.2,992,2.53,575,1.45
00:04:40,1449.7,1399.7,1939.5,2.89,10.68,17159,938.5,267.5,322.6,383.6,14.4,1010,2.18,592,1.06
00:04:45,1451.4,1401.4,1889.7,2.97,10.51,16915,942.7,272.5,326.1,388.2,15.1,973,2.14,603,1.14
00:04:50,1449.4,1399.4,1901.2,2.96,9.89,16895,957.3,271.4,319.5,377.9,16.2,940,2.22,603,1.57
00:04:55,1451.4,1401.4,1894.8,3.05,10.06,17692,955.4,284.8,329.2,379.8,14.9,1073,2.25,536,1.04
00:05:00,1445.5,1395.4,1868.3,3.01,9.66,17340,972.5,272,321,376.4,15.3,931,2.25,615,1.08
00:05:05,1453.4,1403.4,1917,3.22,9.93,17375,995.7,277.1,331,376.6,13.7,1026,2.35,527,1.28
00:05:10,1450.8,1400.7,1905.9,3.04,10.11,17404,997.1,276.9,329.9,384.7,15.8,999,2.21,613,1.51
00:05:15,1451.1,1401,1892.8,3.13,9.46,17000,943.6,274.1,320.3,380.9,15,987,2.26,583,1.43
00:05:20,1450.3,1400.2,1909,3.04,10.01,17397,1007.9,276.1,327.4,378.6,14.1,955,2.36,627,1.16
00:05:25,1452.4,1402.3,1908.3,3.02,10.17,17717,940.6,260,322,367,15.3,1004,2.29,646,1
00:05:30,1457,1406.9,1925.4,2.96,10.25,17860,1000,274,324.5,367.6,15.1,985,2.42,605,1.34
00:05:35,1448.6,1398.5,1902.6,2.96,9.78,18219,987.3,273,318.1,368.1,15,984,2.26,554,1.4
00:05:40,1451.6,1401.5,1871.1,3.3,10.15,17663,939.6,267.8,331.5,377.1,15.9,973,2.55,509,1.09
00:05:45,1446.5,1396.4,1928.8,3.15,9.77,17406,968.2,272.5,323.4,374.4,15.7,993,2.1,563,1.49
00:05:50,1457.8,1407.7,1869.3,2.92,10.21,17267,1004.6,276,323,365.4,13.5,995,2.22,631,1.27
00:05:55,1454,1403.9,1879.1,3.09,9.79,18101,994.5,270.9,318.2,376.4,14.5,1007,2.17,621,1.16
00:06:00,1450.8,1400.7,1916.5,3.1,9.82,17751,915.3,270.7,321.3,380.9,13.9,1021,2.12,656,1.17
00:06:05,1445.7,1395.7,1893,2.92,9.73,17615,957.5,282.4,320.3,387.9,13.9,971,2.22,658,1.33
00:06:10,1451.5,1401.4,1907.3,3.04,9.96,17917,1038.1,274.6,320.6,382.5,16,985,2.26,625,1.07
00:06:15,1457.4,1407.3,1923,3.05,10.49,18075,952.5,270.5,323.2,377.3,13.9,948,2.23,646,1.35
00:06:20,1447.2,1397.2,1904.1,2.95,9.98,17741,1023.9,267.2,328,382.8,15.4,990,2.51,584,1.12
00:06:25,1452.7,1402.6,1881.8,3.02,9.47,17134,899.3,276.2,317.3,364.5,15.2,1035,1.91,632,1.29
00:06:30,1450.9,1400.9,1885.3,2.86,9.55,17682,1009.3,277.1,321.1,372.7,15.8,980,2.2,544,1.31
00:06:35,1454.3,1404.2,1917.2,3.14,10.1,17916,883.5,276.5,324,376.3,13.5,970,2.43,525,1.25
00:06:40,1447,1396.9,1896.5,3.1,10.25,17209,965.1,284.7,329.2,377,14.9,1088,2.32,633,1.31
00:06:45,1454,1403.9,1928.5,2.88,10.14,16643,959.1,269.4,325,376.2,14.9,950,2.25,566,1.22
00:06:50,1449.9,1399.8,1885.2,2.83,10.23,17641,991.1,282.7,323.2,375.4,13.9,1088,2.1,618,1.32
00:06:55,1451.6,1401.5,1904,2.92,9.99,16793,996.1,273.4,333.8,368.7,17.1,991,2.19,629,1.32
00:07:00,1449.9,1399.8,1921.5,2.98,9.41,17952,970.2,281.7,317,379.1,15.1,971,2.26,587,1.47
00:07:05,1452,1401.9,1920.2,3.14,10.19,17898,998.4,270.6,321.6,377.5,16.1,1017,1.91,623,1.55
00:07:10,1448.3,1398.2,1902.3,3.04,9.42,17188,955.4,271.4,315.4,374.1,14.1,911,2.16,546,1.32
00:07:15,1453.7,1403.6,1895.6,2.93,9.69,17793,938.8,275.6,324.3,376.5,14.6,971,1.9,614,0.96
00:07:20,1450.9,1400.8,1905.7,2.96,10.04,17271,965.5,275.3,327.5,374,16.4,969,2.42,612,1.12
00:07:25,1454.4,1404.3,1934.6,2.91,10.61,18367,903.6,286.3,318.4,378.7,14.5,999,2.42,624,1.6
00:07:30,1451.6,1401.5,1881,2.95,10.33,17141,951.2,279.3,325.4,372.1,14,1119,2.29,597,1.45
00:07:35,1448.6,1398.5,1901.8,3.13,9.9,18370,927.5,274.4,320.7,374.7,15,1026,2.18,626,1.24
00:07:40,1452.3,1402.2,1899.6,3.01,10.59,17357,941.4,268.2,321.9,373.6,14.6,943,2.3,557,1.1
00:07:45,1450.1,1400,1911.6,2.98,10.17,18011,898.3,279.9,324,373.4,15.4,946,2,642,1.25
00:07:50,1449.7,1399.6,1891,2.93,9.91,16907,904,275.4,323,367.5,14.9,996,2.24,673,1.26
00:07:55,1447.9,1397.8,1909.7,2.85,10.07,16855,935,273.9,332.8,374.9,15.3,970,2.33,626,1.18
00:08:00,1455.1,1405,1908.3,3,10.08,18398,967.4,275.9,332.9,371.4,15.8,951,2.28,587,1.5
00:08:05,1449.4,1399.3,1908.4,2.98,10.76,16349,942,272.6,320.5,375.7,15.7,1060,2.31,597,1.12
00:08:10,1459.8,1409.6,1911.9,3,9.6,17570,1001.7,268.6,323.1,375.4,13.9,1047,2.52,551,1.61
00:08:15,1447.3,1397.1,1910.7,3.03,10.02,17404,969,283.5,325.9,380.4,15.3,1008,2.19,575,1.13
00:08:20,1453.6,1403.5,1887,3.08,10.23,17598,912.5,278.8,323.7,367.8,16.4,1020,2.45,654,1.25
00:08:25,1455.1,1405,1909.9,3.07,10.57,17590,986.3,278.2,326.7,381.5,16.3,1026,2.5,641,1.48
00:08:30,1454.8,1404.6,1896.5,3.01,9.86,17085,917.5,280.2,322.5,373.7,15.9,1030,2.25,612,1.23
00:08:35,1448.5,1398.3,1885,3.11,9.62,17322,1013.9,274.7,319.5,378.5,15.7,1032,2.27,609,1.29
00:08:40,1450.9,1400.8,1888.3,2.82,9.98,18611,925.1,277.5,328.6,377.7,15.2,975,2.06,546,1.27
00:08:45,1453.8,1403.7,1918.3,2.97,9.93,17712,940.9,271.8,323.6,379.5,15.1,982,2.43,696,1.2
00:08:50,1459.1,1409,1915.4,3,9.49,18101,971.9,272.2,320.8,380.7,14,1016,2.54,611,1.56
00:08:55,1453.9,1403.8,1900,3,10.68,16765,935.2,278.7,321.3,373.6,14.5,1027,2.22,721,1.33
00:09:00,1452.5,1402.4,1889.5,2.96,9.8,16938,954.9,277.4,320.7,374.5,14.8,1004,2.21,605,1.28
00:09:05,1449,1398.8,1954.4,3.09,9.44,17675,995.5,272.4,323.5,375.9,15,1008,2.39,612,1.59
00:09:10,1457,1406.9,1878.6,3.06,9.94,17320,942,276.9,320.9,372.9,13.8,971,2.4,524,1.52
00:09:15,1451.9,1401.8,1839.4,2.92,10.34,17159,953.8,270.3,329.6,377.2,15.5,1047,2.05,545,1.33
00:09:20,1453.1,1403,1894,3.08,10.41,16968,957.2,280.4,319.2,381.9,14.6,1002,2.35,744,1.22
00:09:25,1452,1401.9,1918.7,3,10.64,16787,990.1,274,323.5,366.9,16.2,987,2.1,577,1.24
00:09:30,1455.1,1405,1860.8,2.96,10.29,16936,968.7,275.1,328.3,383,14.1,957,2.18,515,1.09
00:09:35,1454,1403.9,1951.4,3.09,9.52,16858,975.6,271,329.1,387.9,15.1,1037,2.29,570,1.32
00:09:40,1450.4,1400.3,1911.1,2.91,10.31,17421,991.1,282.8,321.5,375.5,16.3,995,2.13,586,1.35
00:09:45,1448,1397.9,1922.9,2.91,10.17,17288,917.9,279.1,330.5,374.4,15.4,984,2.22,680,1.22
00:09:50,1455.6,1405.5,1890.1,2.86,10.4,17461,976.9,277.9,321.7,376.3,14.9,928,2.35,589,1.21
00:09:55,1447,1396.8,1911.9,2.8,9.84,17262,947.2,273.9,326.9,374.4,15.6,994,2.37,518,1.35
00:10:00,1450.4,1400.3,1892.4,2.84,10.24,17842,936.2,280.3,317.1,373.7,15.6,969,2.22,611,1.38
00:10:05,1451.5,1401.4,1884.2,3.1,9.7,17922,939,284.5,325.9,370,15,962,2.18,712,1.05
00:10:10,1452.2,1402,1885.4,3.07,10.4,17705,956.9,275.3,329.3,371.8,12.9,1003,2.16,594,1.04
00:10:15,1446.6,1396.4,1859.1,3.1,9.84,17831,942.8,283.9,331.3,369.7,14.4,1002,2.45,609,1.21
00:10:20,1446.5,1396.3,1878.6,3.05,10.09,17673,919.8,267.3,340.8,379.4,14.8,931,2.09,562,1.47
00:10:25,1450.5,1400.4,1900.6,2.97,9.89,16740,972.5,281.8,333.2,376,13.3,1024,2.54,636,1.39
00:10:30,1455.5,1405.4,1889.4,3.11,10.78,17227,924.3,276.2,330.5,379,14.7,997,1.93,665,1.42
00:10:35,1453.5,1403.4,1919.2,2.99,10.35,16659,931,276.8,323.3,371.5,15.8,994,2.29,627,1.17
00:10:40,1448.6,1398.5,1900.4,3.02,10.57,16980,925.2,275.3,329.6,371.8,16.9,956,2.23,578,1.59
00:10:45,1450,1399.8,1873.7,2.93,9.23,18091,915.8,279.3,325.8,371.9,16,1023,2.35,581,1.3
00:10:50,1449.2,1399.1,1904.6,2.96,10.03,17811,981.5,273.5,326.8,376.1,16,973,2.21,607,1.25
00:10:55,1448,1397.8,1955.7,3.16,10.07,16417,954.4,281.5,331.7,370.2,15,997,2.29,666,1.46
00:11:00,1452.6,1402.4,1887.8,2.97,9.63,16780,917,279.9,317.4,375.5,15.3,1065,2.21,585,1.2
00:11:05,1454.2,1404.1,1920,3.15,10.03,17495,975.9,273,331.2,377.2,16.5,989,2.23,573,1.48
00:11:10,1450.4,1400.3,1895.3,2.94,9.68,17000,945.7,278.6,319.3,366.5,14.1,994,2.31,661,1.16
00:11:15,1451.2,1401,1894.2,2.97,9.74,17857,971.6,280.6,318.9,370.9,14.5,983,2.17,608,1.15
00:11:20,1450.1,1400,1888.6,3.01,10.12,17870,970.9,273.1,321,382.4,15.7,989,2.3,617,1.26
00:11:25,1450.4,1400.2,1885.4,2.82,10.57,16635,974.1,276.1,331.1,372.7,14.9,1018,2.22,687,1.44
00:11:30,1449.8,1399.6,1877.6,2.9,10.1,17417,941.2,275.4,318.9,374.5,15.7,1024,2.11,532,1.34
00:11:35,1448.3,1398.2,1926.6,3.09,10.44,17331,947.3,272.3,331.3,377.2,16.3,1013,2.01,649,1.14
00:11:40,1451.9,1401.8,1893.4,3.09,10.11,17904,970.3,275.2,326.8,368.5,13.3,942,2.19,670,1.22
00:11:45,1452.2,1402.1,1913.9,2.98,9.87,18146,893.6,272.4,319.8,368.3,14.8,964,2.23,713,1.51
00:11:50,1456.4,1406.3,1918.2,3.11,10.03,17332,927.5,272.4,323.7,375.1,14.7,963,2.25,667,1.49
00:11:55,1453.9,1403.7,1889.4,2.84,10.56,17532,934.6,274.3,321.1,371.5,15.8,1007,2.08,627,1.27
00:12:00,1451.8,1401.7,1896.1,2.97,10.06,18002,947.4,277.2,328.1,377.5,13.7,932,2.34,549,1.42
00:12:05,1450.7,1400.5,1909.5,3.13,9.98,17388,1024.8,279.4,317.2,372.9,15.6,978,2.2,680,1.28
00:12:10,1449.2,1399,1892.2,3.02,9.45,17820,977.2,280,322,385.2,14.7,984,2.32,600,1.42
00:12:15,1446.7,1396.5,1893.2,3.11,9.51,17810,984.8,280.7,327.4,371.9,14.8,949,2.13,611,1.24
00:12:20,1449.9,1399.7,1935.3,3,9.93,16920,964.3,278,321.1,379.3,17.4,997,2.42,581,1.36
00:12:25,1448.8,1398.6,1894.2,3.04,10.01,17575,928.3,269.9,318.3,384.6,15,1026,2.24,564,1.22
00:12:30,1449.2,1399,1941.1,2.8,10.44,18255,946.7,272.5,327.6,374.5,14.3,949,2.16,667,1.32
00:12:35,1446.3,1396.1,1901,2.9,9.63,17588,955.4,276.8,328.3,380.5,15.5,978,2.41,630,1.21
00:12:40,1453,1402.9,1896.4,3.04,10.28,17269,963.9,270.8,325.9,375.2,14.9,1081,2.31,598,1.14
00:12:45,1450.4,1400.2,1870.9,3.05,9.98,17477,965.7,271.3,328,377.5,15.4,984,2.08,612,1.3
00:12:50,1449.2,1399,1892.5,3.05,9.76,17870,914.5,279.7,315.3,372.5,16.8,985,2.22,641,1.33
00:12:55,1456.1,1405.9,1918.7,3.05,9.77,18090,914,271.5,326.4,370.6,16.6,1014,2.25,597,1.05
00:13:00,1452.5,1402.4,1893.1,3.02,10.15,17188,926.9,268.2,316,383.9,14.6,960,2.12,629,1.24
00:13:05,1452.9,1402.7,1891.9,2.94,9.18,18260,990.9,272.4,333.3,378.8,14.6,970,2.36,605,1.18
00:13:10,1451.8,1401.6,1895.5,2.95,10.2,18051,943.3,275.5,321.7,373.3,14.8,996,2.2,534,1.15
00:13:15,1453.3,1403.1,1907.5,2.84,10.17,17122,964.4,272.5,332.3,380.6,16.1,965,2.11,625,1.06
00:13:20,1448.9,1398.8,1909.1,2.87,10.49,17117,967.2,281.8,317.8,371.1,14.5,1010,2.33,713,1.25
00:13:25,1447.6,1397.4,1901,2.96,9.81,18427,962.9,276.8,326.6,377.1,14.7,984,2.46,618,1.19
00:13:30,1452.7,1402.5,1935,2.94,9.75,17245,887.8,270.4,324.3,375,15.1,1005,2.22,588,1.23
00:13:35,1444.4,1394.2,1881.2,3.09,10.23,17176,925.4,278.1,321.8,370.4,15.2,988,2.21,645,1.14
00:13:40,1453.1,1402.9,1894.4,3.06,9.08,17642,965.3,271.2,325.7,377.4,15,960,2.5,598,1.17
00:13:45,1446.5,1396.3,1899.9,3.25,10.08,18293,944.3,271.8,319.7,379.5,12.4,1035,2.53,658,1.33
00:13:50,1450.4,1400.2,1915,3.09,10.25,17096,962.3,281.2,329.1,366.7,17.3,988,2.17,607,1.32
00:13:55,1453.9,1403.7,1914.9,2.91,9.98,17744,937.3,277.5,317.9,368.9,16.5,965,2.32,562,1.09
00:14:00,1449.1,1398.9,1956.5,2.91,10.39,16925,914,276.1,327.4,373.1,16.2,1108,1.96,616,1.25
00:14:05,1444.5,1394.3,1910.3,3.15,9.72,17489,945.1,267.3,327.2,364.4,14.7,1004,2.24,621,1.24
00:14:10,1450.1,1399.9,1885.3,3.05,9.8,16360,960.4,272.5,331.4,363.6,15.7,1105,2.21,558,1.28
00:14:15,1450.4,1400.2,1899.1,2.85,10.27,17675,954.1,277.9,317.9,381.4,15.2,1042,2.04,656,1.54
00:14:20,1450.6,1400.4,1933,3.01,10.05,18675,942.3,279.9,322.8,370.1,15.1,1074,2.19,619,0.99
00:14:25,1446.3,1396.1,1926.5,2.96,9.91,17097,920.4,264.1,318.4,359.4,14.2,974,2.39,620,1.14
00:14:30,1444.3,1394.1,1926.8,2.8,10.19,18783,925.6,278,326.9,372.6,14.6,1016,2.45,636,1.57
00:14:35,1446.1,1395.9,1903.8,3.15,9.44,16772,934.2,268.1,332.2,382.4,15.2,1011,2.22,587,1.32
00:14:40,1449.8,1399.6,1905,2.97,10.44,18648,940.1,284.7,324.8,378.9,14.5,1018,2.12,645,1.22
00:14:45,1450.7,1400.5,1900.2,2.97,10.41,16894,938.6,276.4,321.6,377.6,14.7,1005,2.38,552,1.19
00:14:50,1450.3,1400.1,1901.4,3.06,10.24,17045,912,275.3,325.9,375,15,1021,2.46,592,1.35
00:14:55,1449.1,1398.9,1889.2,2.93,10.79,17158,995.7,274.7,323,367.5,14.4,966,2.11,630,1.66
00:15:00,1452.2,1402,1921.7,2.66,10.34,17163,911.4,272,320.3,367.7,15.3,998,2.43,544,1.3
00:15:05,1450.6,1400.4,1909.4,3.07,10.38,16749,963,274.4,326,380.2,15.1,1048,2.3,690,1.64
00:15:10,1445.5,1395.3,1908.1,3.05,9.63,17885,924.4,274.2,330.3,383.7,15.3,1055,2.24,618,1.31
00:15:15,1451.8,1401.6,1893.6,3.23,9.66,17253,967.8,274.7,321.6,388.6,15.3,988,2.34,601,1.28
00:15:20,1456.6,1406.4,1906.3,3.09,10.58,16910,941.5,278.7,318.1,380,16.5,960,2.08,618,1.44
00:15:25,1457.1,1406.9,1917.2,3.06,10.01,16832,960.4,275.8,328.7,373.1,15.9,1065,2.31,634,1.22
00:15:30,1451,1400.8,1878.6,2.89,9.73,17690,923.9,276.9,325.1,379.1,14.6,934,2.19,551,1.27
00:15:35,1449.3,1399.1,1890,3,10.25,17288,917,273.8,330.7,369,16.1,1003,2.43,615,0.9
00:15:40,1451.4,1401.2,1951.4,3.03,10.14,17829,919.3,272.4,330.6,372,14.3,1036,2.45,657,1.32
00:15:45,1449.6,1399.4,1887.3,2.98,10.22,17492,917.8,267.3,324.7,366.7,15.9,1050,2.22,570,1.22
00:15:50,1452.4,1402.2,1896.8,3.02,9.91,17279,960.3,276.7,321.5,386.5,14.3,1044,2.21,600,1.07
00:15:55,1452.2,1402,1880.7,2.99,10.35,17114,1029.1,276.8,322.9,372,15.8,1011,2.25,592,1.5
00:16:00,1448.9,1398.7,1896.9,3.03,10.66,17786,978.7,274.2,324.6,379.2,16.6,1062,2,567,1.13
00:16:05,1457.2,1407,1924.7,3.17,9.91,17981,1029.5,271.2,318.3,371.9,15.4,953,2.07,599,1.21
00:16:10,1451.4,1401.2,1911.6,3.18,9.98,17525,972.5,271.5,331.1,377.3,16.9,1049,2.11,574,1.41
00:16:15,1452.7,1402.5,1919.6,3,8.98,17525,903.2,278.2,314.9,376.5,15.5,1053,2.41,467,1.03
00:16:20,1454.6,1404.4,1892.8,2.96,9.97,17311,982.6,279.5,318.7,373.2,15.2,968,2.12,652,1.39
00:16:25,1448.7,1398.5,1888.5,2.87,9.74,16870,943.2,265.5,321.7,373.4,13.8,1011,2.35,668,1.11
00:16:30,1448.7,1398.5,1925.1,2.94,9.12,17096,1007.1,269.3,329.6,376.2,16,950,2.47,601,1.01
00:16:35,1452.8,1402.6,1893.3,2.87,10.14,17736,982.8,279.5,316.4,380.7,16,947,2.28,631,1.16
00:16:40,1447.7,1397.4,1911.3,3.13,10.28,16948,942,281.5,322.1,367.7,14.4,994,2.47,518,1.5
00:16:45,1453.4,1403.2,1910.3,3.09,9.53,16965,971.3,271.1,321.5,381.5,14.7,1039,2.44,553,1.15
00:16:50,1448.4,1398.2,1876.8,3,9.89,16682,983.7,270.9,321.5,371.6,13.1,1013,2.22,571,0.94
00:16:55,1448.8,1398.5,1881.5,2.94,9.47,18178,942.1,274.6,330.8,379.8,14.1,925,2.37,578,1.32
00:17:00,1453.1,1402.8,1902.6,3.14,9.33,16447,974.4,267.4,326.7,378.4,14.8,1029,2.36,634,1.31
00:17:05,1445.5,1395.2,1891.7,3.04,9.97,18226,937.9,271.6,326.5,379.5,17,1021,2.2,629,1.13
00:17:10,1441.9,1391.7,1913.9,3.03,9.14,16580,909.8,268.2,318.9,368,13.8,1039,2.16,554,1.38
00:17:15,1457.5,1407.3,1895.9,3.04,9.72,17669,878.5,272.6,325.8,383.2,12,945,2.5,575,1.59
00:17:20,1451,1400.7,1877.4,3.16,10.3,17398,970.7,280,322.4,378.3,12.6,993,2.26,602,1.21
00:17:25,1454.4,1404.1,1876.3,3.16,9.94,16676,976.6,273.9,321.1,378.6,16.9,1009,2.42,629,1.16
00:17:30,1454.6,1404.4,1891.7,3.07,10.03,18076,903.6,279.1,329.3,374.8,13.2,1013,1.95,605,1.28
00:17:35,1450.8,1400.6,1927.9,2.93,9.8,17584,917.6,279.3,326.3,383,16.7,974,2.29,578,1.12
00:17:40,1454,1403.8,1917.6,3.11,10.27,16694,979.5,279.9,314.3,380.3,15.6,961,2.22,588,1.17
00:17:45,1450.7,1400.4,1917.7,3.09,10.05,19216,922.3,272,325.6,376.5,15.7,993,2.16,668,1.32
00:17:50,1452.8,1402.6,1902.8,2.96,10.56,18612,963,276.2,317.2,372.2,14.3,976,2.39,571,1.16
