Time,Limestone_CaO_Content_Percent,SiO2_Content_Percent,Al2O3_Content_Percent,Fe2O3_Content_Percent,MgO_Content_Percent,Feed_Size_mm,Product_Size_Primary_mm,Product_Size_Secondary_mm,Moisture_Content_Percent,Clay_SiO2_Content_Percent,Hardness_Index
00:03:05,50.43,15.05,4.22,3.39,2.22,905.0,177.0,22.3,6.08,55.7,11.0
00:03:10,50.94,15.62,4.56,2.86,1.79,1021.0,184.0,22.0,6.18,55.4,11.0
00:03:15,52.16,13.8,4.88,3.19,1.82,930.0,175.0,21.3,6.14,55.0,11.9
00:03:20,52.59,14.83,4.43,3.23,1.93,1016.0,183.0,23.1,6.13,53.3,11.3
00:03:25,52.14,15.83,4.29,3.19,2.05,978.0,192.0,21.6,6.85,55.3,12.8
00:03:30,51.91,14.69,4.42,2.86,1.85,1020.0,175.0,22.9,6.09,54.8,12.7
00:03:35,51.76,15.93,4.33,2.95,1.76,1017.0,177.0,21.1,6.24,57.3,12.1
00:03:40,50.82,15.85,4.3,2.88,1.82,1003.0,178.0,21.1,6.47,53.4,11.5
00:03:45,51.42,14.96,4.07,2.94,1.94,982.0,182.0,22.9,6.26,56.4,11.5
00:03:50,51.63,14.66,4.43,2.83,1.85,1006.0,169.0,23.4,6.79,53.2,13.0
00:03:55,52.85,14.83,4.57,2.93,2.33,1038.0,183.0,22.5,6.58,54.8,12.2
00:04:00,52.27,16.6,4.18,3.29,2.3,1011.0,184.0,20.9,6.38,55.5,12.4
00:04:05,50.59,16.12,4.24,2.94,2.17,1032.0,178.0,22.9,6.84,54.9,12.9
00:04:10,52.26,15.08,4.22,3.02,2.06,944.0,187.0,21.3,6.73,56.8,12.1
00:04:15,51.69,14.64,4.08,2.85,2.06,1003.0,184.0,21.1,6.9,54.6,12.2
00:04:20,51.46,15.07,4.21,3.0,2.2,981.0,166.0,22.1,5.95,56.2,12.9
00:04:25,52.49,15.15,4.44,3.17,2.02,1031.0,175.0,21.6,6.48,54.8,10.3
00:04:30,52.82,14.25,4.1,3.1,1.88,1021.0,182.0,22.7,6.4,53.7,11.2
00:04:35,52.75,15.05,4.46,3.28,2.32,979.0,184.0,22.4,6.47,57.5,13.5
00:04:40,51.33,15.79,4.29,2.76,2.09,1006.0,155.0,21.7,6.58,57.8,11.5
00:04:45,51.75,13.92,4.22,2.85,2.22,994.0,174.0,22.5,6.58,55.4,12.1
00:04:50,52.27,15.5,4.61,2.92,2.27,1016.0,185.0,23.8,6.62,53.3,11.3
00:04:55,52.78,15.82,4.31,3.3,1.73,1014.0,183.0,21.8,6.42,54.6,11.7
00:05:00,51.62,14.66,4.36,3.06,1.87,1003.0,163.0,22.3,6.4,54.8,11.7
00:05:05,51.85,16.02,4.89,2.72,1.97,946.0,168.0,22.5,6.54,56.3,12.3
00:05:10,51.11,14.59,4.22,3.22,2.08,1059.0,178.0,22.5,6.21,58.1,12.0
00:05:15,51.04,15.26,4.97,3.02,2.14,1042.0,174.0,23.7,6.64,58.5,11.7
00:05:20,52.65,14.82,4.4,3.18,1.99,1004.0,173.0,22.9,6.89,54.2,11.8
00:05:25,53.08,14.82,4.16,3.32,2.19,1021.0,175.0,21.2,6.91,56.2,11.0
00:05:30,51.94,14.63,4.33,2.8,2.09,1024.0,173.0,21.2,6.32,56.9,12.5
00:05:35,52.8,15.42,4.52,3.32,2.09,972.0,172.0,21.9,6.27,55.4,11.9
00:05:40,52.29,15.51,4.88,2.99,1.96,1050.0,180.0,22.5,6.56,55.7,11.3
00:05:45,51.48,14.96,4.74,2.92,2.05,919.0,181.0,22.8,6.93,57.7,11.3
00:05:50,52.29,14.18,4.52,3.03,2.05,932.0,176.0,22.8,6.26,53.8,12.9
00:05:55,53.23,15.24,4.88,2.76,2.14,971.0,185.0,22.0,6.52,55.9,11.9
00:06:00,51.97,15.25,3.94,3.0,1.8,1013.0,170.0,22.5,6.16,56.7,11.7
00:06:05,53.25,14.87,4.57,2.95,2.11,1005.0,176.0,23.3,7.31,52.6,12.1
00:06:10,49.9,16.12,4.59,2.81,1.75,1003.0,173.0,22.4,6.55,51.8,12.8
00:06:15,52.66,14.06,4.6,2.87,1.87,997.0,163.0,22.3,7.07,55.8,14.0
00:06:20,52.07,13.67,4.02,3.23,2.09,987.0,179.0,22.8,6.39,58.5,10.8
00:06:25,51.76,14.56,4.19,2.96,1.87,949.0,184.0,22.2,6.84,55.8,11.7
00:06:30,52.07,15.43,4.45,2.8,2.0,945.0,182.0,22.6,6.31,54.5,12.2
00:06:35,50.41,14.37,4.83,3.09,1.86,949.0,177.0,23.5,6.68,54.6,11.7
00:06:40,51.82,14.41,5.07,3.15,2.09,956.0,163.0,21.1,6.41,54.9,12.1
00:06:45,52.29,15.57,4.3,3.0,2.01,943.0,181.0,21.9,6.35,58.0,12.3
00:06:50,53.18,15.28,4.11,2.75,2.0,943.0,190.0,21.5,6.63,55.9,11.7
00:06:55,51.59,15.23,4.74,2.49,2.16,989.0,174.0,21.5,6.49,58.1,12.2
00:07:00,51.35,15.47,5.28,2.82,2.06,1042.0,176.0,21.6,6.09,57.9,11.3
00:07:05,51.6,14.74,4.83,3.21,2.07,1018.0,185.0,20.3,6.41,57.1,11.5
00:07:10,52.73,14.77,4.28,3.19,2.17,963.0,176.0,21.7,6.05,51.6,12.5
00:07:15,52.26,15.49,5.36,2.84,2.18,972.0,174.0,22.9,6.31,56.7,12.4
00:07:20,51.58,14.19,4.71,2.95,1.86,1076.0,175.0,21.0,6.35,54.8,12.9
00:07:25,52.41,13.71,4.26,3.14,2.11,980.0,181.0,20.6,6.54,53.4,12.4
00:07:30,52.08,14.74,5.08,2.97,2.07,957.0,182.0,21.5,6.42,54.3,12.7
00:07:35,52.77,15.56,4.24,3.19,2.2,988.0,158.0,21.4,6.75,54.5,11.9
00:07:40,51.44,15.15,4.31,2.98,1.81,977.0,180.0,22.7,6.79,56.9,11.2
00:07:45,51.74,15.51,4.72,3.1,1.9,966.0,176.0,23.4,6.61,52.9,11.4
00:07:50,51.69,13.79,4.49,2.94,1.97,1001.0,169.0,23.8,6.77,52.4,12.6
00:07:55,50.83,15.19,4.51,2.84,2.21,1051.0,186.0,21.4,6.25,53.6,12.5
00:08:00,52.24,15.39,4.51,3.23,1.96,947.0,180.0,22.5,6.96,56.4,12.8
00:08:05,52.21,14.19,4.83,2.7,1.99,1016.0,165.0,22.0,6.1,52.7,12.5
00:08:10,52.0,15.52,3.8,2.88,1.9,1040.0,181.0,22.3,6.14,51.1,12.2
00:08:15,51.81,14.93,4.59,2.98,2.12,1018.0,184.0,22.5,6.67,54.1,12.8
00:08:20,50.87,16.84,4.41,3.17,2.1,1041.0,169.0,21.9,7.01,53.9,12.2
00:08:25,51.66,13.69,4.27,2.82,1.92,1021.0,177.0,21.2,6.52,55.7,11.6
00:08:30,51.73,15.82,4.27,3.03,1.84,972.0,174.0,21.4,6.98,56.4,12.0
00:08:35,51.36,14.76,3.71,2.72,2.12,1072.0,175.0,22.2,6.41,55.6,12.9
00:08:40,51.87,14.03,4.26,3.09,2.08,1021.0,172.0,22.3,6.38,57.1,11.9
00:08:45,52.32,14.68,4.89,3.36,1.9,1091.0,171.0,21.5,6.65,55.9,11.6
00:08:50,53.51,15.17,4.75,2.61,2.1,926.0,180.0,21.8,6.65,55.3,12.6
00:08:55,52.14,15.62,4.44,2.85,2.1,1096.0,176.0,22.9,7.15,52.4,11.4
00:09:00,52.21,16.03,4.08,3.17,2.18,1035.0,181.0,22.0,6.43,53.7,12.5
00:09:05,51.94,15.85,4.75,3.59,2.13,1019.0,184.0,22.4,6.21,52.2,12.8
00:09:10,50.46,14.42,4.89,3.12,1.95,963.0,188.0,23.2,6.52,52.7,11.1
00:09:15,51.98,15.68,4.81,2.85,1.89,1030.0,169.0,22.1,6.61,55.7,11.8
00:09:20,52.05,15.23,4.21,2.97,2.3,1048.0,185.0,21.6,6.79,53.4,12.3
00:09:25,53.97,14.61,4.24,2.75,1.92,930.0,179.0,21.6,6.44,57.3,12.3
00:09:30,51.85,14.87,5.0,3.16,1.72,1023.0,176.0,22.5,6.03,59.4,12.4
00:09:35,52.24,14.57,4.14,3.21,1.82,974.0,178.0,20.8,6.7,52.5,12.2
00:09:40,51.97,15.02,4.64,3.28,1.7,1023.0,174.0,23.2,6.33,58.0,11.8
00:09:45,51.07,14.56,3.97,2.93,2.18,959.0,162.0,22.9,6.81,55.5,11.6
00:09:50,52.91,14.38,4.41,2.84,2.27,1051.0,182.0,20.9,6.71,55.2,12.5
00:09:55,52.6,15.29,4.68,3.3,2.04,997.0,180.0,21.6,6.37,52.4,11.9
00:10:00,52.63,15.38,4.49,3.28,1.76,1030.0,177.0,21.6,6.31,51.2,12.0
00:10:05,51.27,14.89,4.66,2.8,2.18,1039.0,163.0,22.4,6.3,54.6,11.7
00:10:10,53.12,15.82,4.13,2.92,2.07,1012.0,176.0,21.4,6.58,57.3,12.4
00:10:15,50.88,14.84,4.25,3.16,2.18,965.0,179.0,20.1,6.62,54.6,13.2
00:10:20,52.47,14.82,4.64,2.95,2.09,1025.0,190.0,23.0,6.47,52.7,12.1
00:10:25,53.75,15.4,4.71,3.01,1.79,996.0,178.0,20.2,6.55,54.9,11.9
00:10:30,51.21,14.92,4.57,2.71,2.1,1008.0,161.0,23.4,7.05,57.1,12.7
00:10:35,51.55,15.05,4.78,2.78,1.77,985.0,179.0,21.7,7.02,55.7,13.0
00:10:40,52.08,13.49,4.0,2.98,1.88,928.0,184.0,22.0,6.29,54.8,12.0
00:10:45,51.6,15.01,4.36,2.86,2.15,1002.0,172.0,21.8,6.85,56.2,12.2
00:10:50,50.76,13.9,5.05,2.77,2.15,976.0,163.0,21.6,6.5,54.8,11.9
00:10:55,52.05,14.27,4.89,2.94,1.86,1012.0,190.0,22.1,6.27,58.0,11.7
00:11:00,51.15,14.2,4.69,2.82,1.83,999.0,176.0,21.8,6.8,55.4,11.6
00:11:05,52.38,14.37,4.45,3.01,2.0,979.0,171.0,21.3,6.31,53.6,12.7
00:11:10,51.26,14.67,4.81,3.2,2.3,1085.0,181.0,22.5,6.31,56.9,11.5
00:11:15,53.24,14.71,4.63,2.94,2.08,988.0,168.0,21.8,6.04,50.1,12.0
00:11:20,51.37,15.4,4.04,2.91,2.35,1003.0,167.0,23.6,6.47,55.7,13.4
00:11:25,51.74,15.13,4.8,3.21,1.98,1075.0,172.0,21.3,6.27,54.0,11.6
00:11:30,52.65,13.86,4.24,3.15,2.13,960.0,177.0,22.4,6.94,53.4,11.9
00:11:35,51.02,15.05,4.73,3.16,1.95,1034.0,170.0,21.6,6.47,53.5,11.8
00:11:40,52.18,15.19,4.02,2.5,1.88,970.0,179.0,21.5,6.51,53.4,11.8
00:11:45,53.05,14.8,4.98,2.91,1.86,991.0,181.0,22.0,6.35,53.9,11.7
00:11:50,50.71,14.96,4.42,2.89,2.05,1016.0,175.0,22.5,6.27,53.3,12.4
00:11:55,52.15,15.11,4.17,2.83,2.19,1046.0,173.0,22.6,6.21,54.5,11.7
00:12:00,52.21,15.46,4.29,3.21,1.95,959.0,182.0,21.9,7.23,55.1,10.8
00:12:05,52.63,14.06,4.4,2.89,2.21,1010.0,180.0,23.3,6.48,52.7,11.9
00:12:10,51.01,14.85,4.5,2.72,2.27,970.0,166.0,22.7,6.31,53.0,12.1
00:12:15,50.94,15.91,4.9,3.05,2.13,1026.0,185.0,22.2,6.53,54.4,11.3
00:12:20,52.42,15.85,4.52,3.0,2.05,1039.0,181.0,22.6,6.62,56.0,10.5
00:12:25,52.24,15.51,3.85,2.82,1.9,1027.0,171.0,21.2,6.17,52.3,11.3
00:12:30,52.2,15.32,4.13,3.2,2.2,968.0,162.0,22.9,6.29,52.7,12.6
00:12:35,52.28,15.99,5.33,3.11,1.83,956.0,177.0,21.0,6.64,55.6,11.6
00:12:40,51.46,16.15,4.54,3.11,2.09,993.0,177.0,22.3,6.33,54.4,12.4
00:12:45,52.19,14.92,4.79,3.1,1.81,951.0,177.0,21.9,6.12,53.3,12.1
00:12:50,52.23,14.42,4.41,3.22,1.84,1021.0,186.0,20.9,6.33,53.4,12.3
00:12:55,51.43,14.84,4.2,2.97,1.99,1057.0,175.0,21.0,6.2,53.4,10.8
00:13:00,53.49,16.86,4.36,2.75,2.11,969.0,178.0,22.0,6.9,52.9,12.1
00:13:05,52.38,14.06,4.54,2.96,2.15,1021.0,180.0,21.9,6.63,57.2,11.9
00:13:10,51.05,14.72,4.36,2.67,2.0,968.0,171.0,21.4,5.73,53.6,12.5
00:13:15,52.53,14.15,5.08,2.79,1.94,1050.0,181.0,21.7,6.38,53.8,11.9
00:13:20,51.22,15.07,4.32,3.32,1.88,1040.0,186.0,20.8,6.77,56.7,12.9
00:13:25,52.63,14.28,4.18,2.78,2.11,997.0,172.0,20.8,6.68,53.3,12.8
00:13:30,52.93,14.93,4.74,2.77,2.1,1031.0,160.0,21.7,6.34,58.1,11.9
00:13:35,51.34,13.83,4.78,3.13,2.03,1033.0,169.0,20.5,6.79,54.6,12.4
00:13:40,52.77,15.37,4.51,3.17,2.05,952.0,176.0,21.8,6.35,57.5,11.8
00:13:45,52.33,15.73,4.32,2.67,2.24,1020.0,162.0,22.4,6.28,54.8,11.3
00:13:50,52.66,14.77,3.93,3.05,2.15,975.0,171.0,21.8,6.3,57.1,11.1
00:13:55,53.52,14.92,4.87,2.89,1.79,1005.0,175.0,22.4,6.89,58.0,11.8
00:14:00,51.8,14.9,4.76,3.07,2.13,986.0,180.0,21.4,6.5,55.8,11.8
00:14:05,51.4,15.11,4.37,2.94,2.21,1001.0,183.0,20.4,6.33,54.0,12.1
00:14:10,51.29,14.98,4.52,2.73,1.88,1037.0,178.0,22.4,6.23,53.6,12.5
00:14:15,51.35,15.46,4.43,2.9,2.14,954.0,174.0,21.8,6.4,55.9,13.4
00:14:20,51.94,15.74,4.99,3.13,2.45,930.0,172.0,21.1,6.35,55.2,10.8
00:14:25,52.27,14.51,4.19,3.39,2.07,982.0,175.0,21.7,6.22,53.5,11.3
00:14:30,52.22,14.81,4.31,3.08,1.96,1044.0,181.0,21.4,6.39,57.2,11.2
00:14:35,52.66,15.54,4.28,2.92,1.98,964.0,179.0,22.6,6.6,54.7,11.8
00:14:40,52.01,14.15,4.59,2.76,2.02,979.0,175.0,21.2,7.47,52.0,12.5
00:14:45,53.16,13.82,4.52,2.97,1.76,1047.0,186.0,21.3,6.38,54.8,11.9
00:14:50,51.79,15.14,4.56,2.92,1.76,1055.0,172.0,21.9,6.53,54.5,12.4
00:14:55,54.18,15.3,4.24,3.06,2.04,1028.0,184.0,22.0,6.23,56.1,11.7
00:15:00,52.5,14.57,4.95,2.99,1.99,1016.0,171.0,21.8,7.09,49.4,12.0
00:15:05,51.31,14.65,4.36,3.1,2.1,1040.0,166.0,20.4,6.54,51.6,11.3
00:15:10,51.14,14.54,4.86,2.93,1.96,983.0,176.0,20.7,6.65,58.0,11.6
00:15:15,52.39,14.48,5.44,3.34,2.01,1028.0,161.0,22.1,6.63,54.9,12.4
00:15:20,51.82,15.42,4.24,3.12,2.14,968.0,173.0,21.1,7.33,54.6,13.0
00:15:25,52.57,14.29,4.6,2.86,1.66,1065.0,181.0,22.4,6.76,56.0,12.0
00:15:30,52.38,14.84,4.46,3.2,1.86,1042.0,181.0,20.1,6.58,52.9,12.3
00:15:35,51.94,14.46,5.11,2.77,1.92,1026.0,186.0,21.6,6.52,54.4,11.4
00:15:40,51.32,14.13,4.42,2.83,1.98,986.0,169.0,21.0,6.53,55.0,11.0
00:15:45,50.79,15.52,4.57,2.84,1.79,1028.0,166.0,20.8,6.27,52.7,12.1
00:15:50,51.64,14.69,4.57,3.27,1.86,999.0,180.0,20.7,6.4,53.9,12.9
00:15:55,52.69,15.11,4.47,2.96,2.1,978.0,169.0,21.7,6.84,51.4,11.9
00:16:00,52.17,14.1,4.73,2.87,2.07,1023.0,177.0,21.4,6.29,57.5,12.3
00:16:05,51.0,14.55,4.53,3.03,1.58,924.0,167.0,21.5,6.38,53.1,13.1
00:16:10,52.14,15.45,4.64,3.11,1.97,1035.0,171.0,21.0,6.41,53.5,12.1
00:16:15,52.31,16.55,4.56,3.32,1.98,959.0,171.0,22.7,6.27,57.3,12.4
00:16:20,51.29,13.81,4.32,2.7,1.86,1029.0,175.0,22.0,6.55,55.3,11.8
00:16:25,52.12,14.88,4.42,3.25,1.98,940.0,174.0,21.7,6.49,54.7,11.8
00:16:30,52.05,15.25,4.67,2.59,2.06,983.0,177.0,22.5,6.18,54.2,12.8
00:16:35,51.09,14.63,4.67,3.18,2.11,1018.0,177.0,22.0,6.3,55.3,11.6
00:16:40,52.29,15.51,4.87,3.23,2.02,1035.0,179.0,21.3,6.44,52.4,12.8
00:16:45,52.45,14.48,5.06,3.24,2.1,972.0,172.0,22.2,6.22,58.5,11.0
00:16:50,52.87,15.09,4.34,3.11,2.0,963.0,179.0,23.3,6.09,52.6,12.0
00:16:55,52.84,14.69,4.54,2.79,1.66,1041.0,183.0,21.7,6.19,54.5,11.5
00:17:00,50.9,15.73,4.44,3.15,1.98,1076.0,166.0,22.3,6.45,52.1,12.4
00:17:05,51.25,14.59,4.17,2.79,1.82,964.0,167.0,22.9,6.32,58.4,12.7
00:17:10,52.41,14.79,4.67,2.81,2.02,895.0,181.0,22.1,6.62,52.5,12.6
00:17:15,52.41,15.57,4.73,2.91,1.97,1061.0,181.0,22.8,6.81,53.2,13.0
00:17:20,52.41,14.38,4.18,2.93,1.97,994.0,172.0,21.8,6.25,56.5,10.2
00:17:25,55.08,15.04,4.39,3.05,1.87,964.0,180.0,20.1,6.24,54.3,11.4
00:17:30,52.46,13.91,4.36,2.86,1.94,1002.0,172.0,20.9,6.68,51.4,11.6
00:17:35,52.91,14.35,4.05,3.07,2.05,1078.0,175.0,22.4,6.52,55.2,11.2
00:17:40,52.76,15.23,4.49,2.73,1.86,1026.0,175.0,23.4,6.84,56.3,13.3
00:17:45,52.52,14.41,4.16,3.01,1.91,1031.0,176.0,21.4,6.43,54.8,12.3
00:17:50,51.75,14.67,4.55,2.95,1.74,1006.0,186.0,23.2,6.56,53.3,11.4
00:17:55,52.61,15.3,4.58,3.2,2.04,1019.0,195.0,21.1,6.78,54.3,10.8
00:18:00,51.38,14.65,4.62,3.22,1.81,1068.0,164.0,21.7,6.35,56.4,12.4
00:18:05,51.81,15.49,4.63,2.97,2.0,964.0,170.0,21.9,5.87,58.7,12.0
00:18:10,51.61,15.13,4.96,2.61,2.11,1030.0,169.0,22.3,7.15,54.3,11.3
00:18:15,52.07,15.26,4.26,2.71,2.19,999.0,186.0,22.4,6.81,54.8,13.4
00:18:20,53.85,15.74,4.27,3.22,1.95,997.0,185.0,21.9,6.29,56.9,11.8
00:18:25,50.51,15.19,4.7,2.97,2.09,954.0,182.0,24.0,6.34,56.2,11.6
00:18:30,52.55,15.92,4.46,3.35,2.0,1017.0,172.0,22.2,5.88,56.9,13.0
00:18:35,50.71,15.55,4.84,3.18,1.72,1023.0,177.0,21.5,6.7,53.8,12.3
00:18:40,51.62,14.69,4.67,3.05,1.78,993.0,162.0,23.4,6.39,53.9,11.9
00:18:45,52.87,15.78,5.08,3.03,2.13,1058.0,181.0,22.2,6.97,53.3,12.7
00:18:50,52.05,15.16,4.47,2.77,2.17,1003.0,178.0,23.0,6.31,52.9,12.0
00:18:55,51.14,14.76,4.06,2.87,1.68,915.0,171.0,20.7,6.1,54.5,12.4
00:19:00,51.43,15.17,4.6,3.08,2.05,1022.0,181.0,22.1,6.25,55.1,11.5
00:19:05,52.54,15.67,4.48,2.93,2.04,953.0,173.0,21.7,6.71,51.5,11.3
00:19:10,51.42,15.27,4.66,3.09,1.88,1057.0,160.0,21.6,5.92,55.1,11.2
00:19:15,52.17,16.09,4.7,3.21,1.88,1075.0,185.0,22.1,6.82,53.2,12.8
00:19:20,52.04,15.65,4.34,2.96,1.84,1040.0,189.0,22.9,6.28,55.6,11.1
00:19:25,51.48,15.31,4.2,2.91,1.71,1000.0,164.0,21.9,6.58,56.0,11.9
00:19:30,53.72,14.38,4.46,2.82,1.84,1024.0,177.0,23.1,5.85,54.3,12.4
00:19:35,52.51,14.89,3.79,3.17,2.1,970.0,187.0,21.0,6.01,56.1,11.1
00:19:40,50.38,15.04,4.52,3.15,1.95,1025.0,164.0,22.3,6.69,53.2,12.4
00:19:45,52.15,15.42,4.38,3.44,2.11,968.0,158.0,22.4,6.33,55.1,12.9
00:19:50,51.47,15.38,4.76,3.04,1.7,1075.0,173.0,20.1,6.75,52.8,12.5
00:19:55,52.68,15.1,3.9,2.98,2.07,961.0,176.0,22.4,6.3,56.4,12.1
00:20:00,51.37,15.07,4.5,3.09,2.12,934.0,185.0,21.8,6.31,54.1,11.4
00:20:05,51.91,15.43,4.97,2.94,1.61,993.0,193.0,22.3,6.07,54.0,11.9
00:20:10,52.4,14.48,4.7,2.82,1.92,1024.0,180.0,23.0,6.49,53.2,12.5
00:20:15,52.69,16.02,4.79,3.02,2.05,1093.0,161.0,22.2,6.27,58.7,11.5
00:20:20,51.04,13.77,4.6,3.09,2.2,971.0,179.0,21.8,6.67,52.8,11.5
00:20:25,51.73,15.87,4.0,3.1,1.79,1003.0,174.0,20.8,6.99,54.4,11.8
00:20:30,51.62,14.97,4.55,3.09,2.21,1000.0,183.0,21.9,6.62,54.5,12.2
00:20:35,51.48,15.6,4.62,3.21,2.07,958.0,160.0,23.2,6.98,53.0,11.5
00:20:40,53.41,15.22,4.18,3.1,1.85,960.0,182.0,19.5,6.4,52.1,13.2
00:20:45,52.32,15.21,4.46,3.05,2.15,925.0,188.0,22.9,6.99,53.8,11.6
00:20:50,50.99,15.33,3.63,2.75,2.35,1061.0,177.0,22.5,7.15,56.1,10.8
00:20:55,52.73,15.49,4.4,3.05,1.95,968.0,184.0,22.0,6.39,56.7,13.3
00:21:00,53.7,14.8,4.37,2.97,1.94,917.0,181.0,22.5,6.3,55.6,11.8
00:21:05,52.83,15.62,4.92,2.78,1.86,985.0,158.0,22.9,6.19,51.6,12.3
00:21:10,50.78,14.35,4.32,3.1,2.28,1049.0,176.0,21.6,6.13,54.5,12.0
00:21:15,51.61,15.0,4.42,3.1,1.89,1021.0,178.0,22.1,6.42,58.9,11.8
00:21:20,53.01,15.5,4.48,3.09,1.85,1020.0,166.0,22.0,6.52,54.7,12.6
00:21:25,51.43,15.6,4.32,3.11,1.91,1065.0,178.0,23.2,6.33,52.9,12.2
00:21:30,52.36,15.28,4.72,3.02,1.91,1042.0,162.0,22.0,6.88,53.5,12.3
00:21:35,52.62,14.76,3.9,2.95,1.91,895.0,175.0,22.1,6.45,53.9,12.1
00:21:40,51.26,15.54,4.84,3.35,1.88,981.0,179.0,22.8,6.88,56.4,12.3
00:21:45,51.95,14.6,4.5,3.03,1.89,1017.0,195.0,22.4,6.62,53.8,11.1
00:21:50,49.41,16.05,4.89,2.49,2.02,1008.0,168.0,22.2,6.91,57.5,12.1
00:21:55,51.18,14.95,3.68,2.51,2.2,1022.0,181.0,20.9,6.1,54.2,12.7
00:22:00,51.8,14.08,3.77,3.24,1.85,1107.0,165.0,21.7,6.84,55.4,12.3
00:22:05,51.0,14.28,4.41,2.63,1.8,961.0,184.0,22.3,6.57,52.9,11.7
00:22:10,53.31,15.03,4.65,2.89,2.05,910.0,175.0,22.1,6.43,56.9,13.0
00:22:15,50.86,15.08,4.33,2.76,2.08,903.0,180.0,21.9,6.52,55.5,13.0
00:22:20,51.65,16.18,4.68,2.94,2.23,1037.0,168.0,22.6,7.11,59.6,11.7
00:22:25,52.1,14.38,4.79,3.08,2.21,994.0,179.0,23.7,6.73,54.9,12.3
00:22:30,53.15,15.02,4.7,2.87,1.76,940.0,170.0,22.1,6.79,53.4,13.3
